rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1726255237705372603,,81587,,1722537167,599964928,"""base_link""",,-0.024040473487105384,-0.005928575250528278,0.7547423979739472,-0.6555539520048485,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.05104200541973114,0.017315566539764404,0.0053264829330146295,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,2.805375337600708,1.2120765447616588,9.265767097473145,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237720266835,,81588,,1722537167,615963904,"""base_link""",,-0.024477908383810365,-0.006033222582658287,0.7547819211811382,-0.6554911637372792,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.17464007437229156,0.05561389401555061,-0.011047205887734897,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,1.2893998622894287,2.2586870193481454,6.493708610534668,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237745805411,,81589,,1722537167,641963904,"""base_link""",,-0.02417652087992052,-0.006376854399646209,0.7547495998166864,-0.6555363820373753,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.003830546047538519,-0.02106119319796562,0.02123881690204144,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,2.557640790939331,1.9191740751266484,3.5774667263031,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237761011253,,81590,,1722537167,657963904,"""base_link""",,-0.024191052323033667,-0.006620640991056332,0.754854829960706,-0.655412270105223,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.0788920521736145,0.03601156547665596,-0.0032231572549790187,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.448580026626587,-0.8731666803359972,11.319655418395996,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237780237338,,81591,,1722537167,678963904,"""base_link""",,-0.023972507084070012,-0.00578403197501566,0.7548213864364126,-0.6554667027600748,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.04468510299921036,-0.040018193423748016,-0.022414736449718472,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,2.430900812149048,3.5791110992431645,2.278734683990478,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237802643697,,81592,,1722537167,699963904,"""base_link""",,-0.024276425374504036,-0.005981039515845737,0.7548081628626923,-0.6554689681531822,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-6.191548891365528e-05,0.020151425153017048,0.017626617103815075,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-2.8738999366760254,-2.996995925903318,19.541717529296875,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237821488687,,81593,,1722537167,721962624,"""base_link""",,-0.023422971448493674,-0.006241682212482184,0.7551337683408632,-0.6551224578381499,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.11281845718622208,-0.07942110300064088,-0.09795913100242613,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-0.5758158564567566,0.15396323800087064,7.2154107093811035,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237841202843,,81594,,1722537167,737962624,"""base_link""",,-0.023931081341795356,-0.006256598904132503,0.7548882102647266,-0.6553868977024193,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.15777580440044403,0.07226709276437761,0.10412636399269103,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,0.026059750467538834,-5.043395519256589,18.251659393310547,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237859715991,,81595,,1722537167,758962624,"""base_link""",,-0.02346115649324454,-0.006346770110888036,0.7553524578010742,-0.6548679435567047,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.07441729307174683,-0.0187203884124756,-0.10425173491239548,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-3.016146659851074,1.7595117092132575,5.336005210876465,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1726255237880446717,,81596,,1722537167,779962624,"""base_link""",,-0.024553241265712032,-0.0060195215641697065,0.754937906667477,-0.6553088786174697,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.11760888993740082,0.11200935393571855,0.0880388244986534,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,0.5574011206626892,2.812457561492921,6.8209404945373535,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
