rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,speed,speed2d,direction,northsouth,westeast,updown,temperature,pitch,roll,pressure,humidity,heading,levelx,levely,levelz
1726255237735429241,,19037,,1722537167,637514829,'',1.1859999895095825,2.569999933242798,295.0,2.126897096633911,-1.442428469657898,-0.01772228069603443,7.699999809265137,1.2,6.8,1019.8499755859375,100.0,275.0,321.0,1821.0,15288.0
1726255237747883454,,19038,,1722537167,650003910,'',1.1430000066757202,1.059000015258789,342.0,0.2049601823091507,-1.0055274963378906,0.0913194939494133,7.610000133514404,1.4,7.7,1019.8400268554688,100.0,286.0,381.0,2077.0,15444.0
1726255237760980603,,19039,,1722537167,662461757,'',2.0269999504089355,1.9119999408721924,298.0,1.5114657878875732,-1.1774414777755737,-0.016170606017112732,7.619999885559082,1.1,4.9,1019.8200073242188,100.0,284.0,325.0,1421.0,16588.0
1726255237777869214,,19040,,1722537167,680954933,'',1.284000039100647,1.1859999895095825,292.0,1.0017143487930298,-0.6319394111633301,-0.024893786758184433,7.78000020980835,-0.0,8.1,1019.8599853515625,100.0,279.0,-7.0,2277.0,15928.0
1726255237784032787,,19041,,1722537167,687446832,'',2.2139999866485596,2.203000068664551,299.0,1.7389848232269287,-1.3552948236465454,0.013544222339987755,7.630000114440918,0.7,5.1,1019.8400268554688,100.0,280.0,197.0,1457.0,16284.0
1726255237859725590,,19042,,1722537167,762462377,'',2.296999931335449,2.2790000438690186,300.0,1.771444320678711,-1.4391555786132812,0.013666762039065361,7.619999885559082,0.4,5.6,1019.8900146484375,100.0,281.0,109.0,1537.0,15732.0
1726255237871719082,,19043,,1722537167,774988174,'',2.61899995803833,2.5950000286102295,293.0,2.2148051261901855,-1.352962851524353,-0.017502404749393463,7.699999809265137,0.3,8.0,1019.8800048828125,100.0,276.0,81.0,2373.0,16836.0
1726255237884080722,,19044,,1722537167,787450551,'',2.3580000400543213,2.3480000495910645,304.0,1.7567040920257568,-1.554494857788086,-0.025802824646234512,7.840000152587891,0.8,6.0,1019.8300170898438,100.0,286.0,217.0,1625.0,15488.0
1726255237903159215,,19045,,1722537167,806245803,'',2.569999933242798,2.552999973297119,304.0,1.9004288911819458,-1.7009382247924805,-0.029658304527401924,7.679999828338623,1.0,6.6,1019.8300170898438,100.0,283.0,301.0,1973.0,17104.0
1726255237910192042,,19046,,1722537167,812496185,'',1.0770000219345093,1.0759999752044678,299.0,0.8610693216323853,-0.6439899206161499,-0.01422446221113205,7.710000038146973,-0.2,6.5,1019.8200073242188,100.0,280.0,-71.0,1933.0,16920.0
1726255237985207320,,19047,,1722537167,887449026,'',1.3250000476837158,1.3240000009536743,309.0,0.8979767560958862,-0.9690726399421692,0.0390218161046505,7.579999923706055,0.9,6.1,1019.8099975585938,100.0,297.0,261.0,1717.0,16068.0
1726255237997767405,,19048,,1722537167,899976968,'',1.1119999885559082,1.0379999876022339,297.0,0.8300809264183044,-0.6285764575004578,-0.006465086247771978,7.449999809265137,-1.9,6.9,1019.8699951171875,100.0,290.0,-531.0,1917.0,15752.0
1726255238010655381,,19049,,1722537167,912517070,'',1.0049999952316284,1.0049999952316284,289.0,0.8960311412811279,-0.4536460340023041,-0.006119696423411369,7.75,1.8,5.2,1019.8300170898438,100.0,282.0,513.0,1485.0,16412.0
1726255238029384429,,19050,,1722537167,930940151,'',1.1720000505447388,1.100000023841858,323.0,0.5551728010177612,-0.9265064597129822,0.06758835166692734,7.619999885559082,0.8,6.7,1019.8099975585938,100.0,278.0,233.0,1881.0,16032.0
1726255238034502398,,19051,,1722537167,937453746,'',2.627000093460083,2.609999895095825,293.0,2.219487190246582,-1.3729174137115479,-0.011203866451978683,7.590000152587891,0.8,6.2,1019.8200073242188,100.0,287.0,221.0,1745.0,16168.0
1726255238081023187,,19052,,1722537167,982712984,'',1.9079999923706055,1.3020000457763672,313.0,0.9120907187461853,-0.9870944619178772,0.031936436891555786,7.53000020980835,1.1,7.4,1019.7999877929688,100.0,289.0,313.0,2129.0,16352.0
1726255238085203352,,19053,,1722537167,987529993,'',2.549999952316284,2.431999921798706,293.0,2.0569684505462646,-1.2335834503173828,-0.1406981348991394,7.599999904632568,-0.5,5.9,1019.8300170898438,100.0,284.0,-131.0,1661.0,16168.0
1726255238106836924,,19054,,1722537168,9539365,'',2.450000047683716,2.431999921798706,293.0,2.0569684505462646,-1.2335834503173828,-0.1406981348991394,7.599999904632568,-0.5,5.9,1019.8300170898438,100.0,284.0,nan,1661.0,16168.0
1726255238152990709,,19055,,1722537168,56084632,'',2.450000047683716,2.431999921798706,305.0,1.8131510019302368,-1.591090440750122,-0.08810123801231384,7.579999923706055,-0.4,6.3,1019.8400268554688,100.0,291.0,-123.0,1841.0,16572.0
1726255238159345157,,19056,,1722537168,62510728,'',3.0739998817443848,2.9719998836517334,294.0,2.51826810836792,-1.5225067138671875,-0.13759726285934448,7.699999809265137,1.0,7.7,1019.8300170898438,100.0,286.0,309.0,2273.0,16888.0
1726255238171723560,,19057,,1722537168,74954748,'',2.7249999046325684,2.688999891281128,290.0,2.3804972171783447,-1.2124710083007812,-0.11752703040838242,7.380000114440918,-1.7,5.5,1019.8200073242188,100.0,273.0,-459.0,1493.0,15456.0
1726255238235100533,,19058,,1722537168,137578010,'',2.4609999656677246,2.388000011444092,290.0,2.080024003982544,-1.1739192008972168,-0.02004358172416687,7.570000171661377,1.9,6.0,1019.8099975585938,100.0,285.0,525.0,1657.0,15760.0
