time,vx,vy,z,heading
0.0,0.7071067811865475,0.7071067811865475,5,0.7853981633974483
0.01,0.7196901936692465,0.6945233687038485,5,0.7676044089805235
0.02,0.7322576612120837,0.6819559011610112,5,0.7498444361089517
0.03,0.7447932590796619,0.669420303293433,5,0.7321518132615455
0.04,0.7572811029199098,0.6569324594531851,5,0.7145596867218327
0.05,0.7697053688917744,0.6445081934813205,5,0.6971005791925419
0.06,0.7820503137162349,0.63216324865686,5,0.6798061997011678
0.07,0.7943002946252352,0.6199132677478597,5,0.662707267975237
0.08,0.8064397891832539,0.607773773189841,5,0.6458333560042356
0.09,0.8184534149563968,0.5957601474166981,5,0.6292127489742058
0.1,0.8303259490040874,0.5838876133690075,5,0.6128723271863934
0.11,0.8420423471686573,0.5721712152044376,5,0.5968374699792142
0.12,0.8535877631383938,0.5606257992347011,5,0.5811319820883999
0.13,0.8649475672598883,0.5492659951132066,5,0.565778042326168
0.14,0.87610736507585,0.538106197297245,5,0.5507961739556984
0.15,0.8870530155648912,0.5271605468082037,5,0.5362052356968434
0.16,0.8977706490601763,0.5164429133129186,5,0.5220224319328166
0.17,0.9082466848242242,0.5059668775488707,5,0.5082633404009602
0.18,0.9184678482575989,0.49574571411549606,5,0.4949419554445092
0.19,0.9284211877196792,0.48579237465341574,5,0.48207074477375056
0.2,0.9380940909401956,0.47611947143289934,5,0.46966071762822453
0.21,0.9474743010007366,0.4667392613723583,5,0.45772150223849933
0.22,0.956549931865975,0.4576636305071199,5,0.44626143054696565
0.23,0.9653094834449338,0.4489040789281611,5,0.4352876282517305
0.24,0.9737418561632063,0.4404717062098886,5,0.42480610837566235
0.25,0.981836365027666,0.43237719734542884,5,0.41482186672399807
0.26,0.9895827531658445,0.4246308092072504,5,0.4053389777695811
0.27,0.9969712048228201,0.4172423575502748,5,0.3963606896867432
0.28,1.0039923577991494,0.41022120457394545,5,0.3878895174363162
0.29,1.0106373153140806,0.40357624705901424,5,0.37992733297978165
0.3,1.0168976572790167,0.3973159050940782,5,0.37247545186591874
0.31,1.0227654509669424,0.3914481114061526,5,0.3655347155854447
0.32,1.0282332610642968,0.3859803013087982,5,0.3591055692260321
0.33,1.033294159092553,0.38091940328054175,5,0.3531881340806347
0.34,1.0379417321875688,0.376271830185526,5,0.3477822749658541
0.35,1.0421700912255782,0.3720434711475166,5,0.34288766209437566
0.36,1.045973878285535,0.3682396840875598,5,0.3385038274169194
0.37,1.0493482734383461,0.36486528893474884,5,0.3346302154057157
0.38,1.052289000854394,0.36192456151870106,5,0.33126622829440633
0.39,1.05479233422161,0.35942122815148503,5,0.3284112658198472
0.4,1.0568551014672316,0.3573584609058632,5,0.32606475953095654
0.41,1.0584746887772623,0.3557388735958327,5,0.32422620173993266
0.42,1.0596490439085362,0.3545645184645586,5,0.322895169193264
0.43,1.0603766787892,0.3538368835838949,5,0.3220713415353245
0.44,1.0606566714043046,0.3535568909687903,5,0.321754514627307
0.45,1.0604886669641287,0.3537248954089661,5,0.3219446087700216
0.46,1.059872878353746,0.3543406840193487,5,0.3226416718618945
0.47,1.058810085863271,0.35540347650982396,5,0.32384587750447813
0.48,1.0573016361991205,0.35691192617397444,5,0.3255575180480705
0.49,1.0553494407775514,0.3588641215955436,5,0.3277769925507347
0.5,1.0529559733026272,0.3612575890704678,5,0.33050478960625873
0.51,1.050124266631691,0.3640892957414039,5,0.33374146498151375
0.52,1.0468579089323116,0.3673556534407833,5,0.3374876139924707
0.53,1.0431610391355743,0.3710525232375207,5,0.3417438385420308
0.54,1.0390383416914775,0.37517522068161757,5,0.34651070874311746
0.55,1.0344950406330808,0.37971852174001414,5,0.3517887190585071
0.56,1.0295368929569264,0.3846766694161685,5,0.35757823890603846
0.57,1.0241701813281205,0.3900433810449744,5,0.36387945770555424
0.58,1.0184017061193198,0.39581185625377513,5,0.37069232438361616
0.59,1.0122387767937104,0.4019747855793845,5,0.3780164814050511
0.6,1.0056892026428979,0.408524359730197,5,0.38585119346799873
0.61,0.9987612828914443,0.4154522794816506,5,0.39419527108236957
0.62,0.9914637961805934,0.4227497661925015,5,0.4030469893512648
0.63,0.9838059894445058,0.4304075729285891,5,0.412404002391278
0.64,0.9757975661931033,0.43841599617999155,5,0.4222632539604726
0.65,0.9674486742163686,0.4467648881567264,5,0.43262088501130896
0.66,0.9587698927256766,0.45544366964741834,5,0.4434721390480844
0.67,0.9497722189484594,0.46444134342463556,5,0.4548112663417713
0.68,0.9404670541931834,0.47374650817991154,5,0.4666314282355965
0.69,0.9308661894022997,0.4833473729707952,5,0.4789246029571095
0.7,0.9209817902114754,0.4932317721616195,5,0.4916814945304184
0.71,0.9108263815340347,0.5033871808390602,5,0.5048914465480275
0.72,0.9004128316901452,0.5138007306829497,5,0.5185423627064274
0.73,0.8897543361008614,0.5244592262722335,5,0.5326206361235194
0.74,0.8788644005676833,0.5353491618054116,5,0.547111089528791
0.75,0.8677568241588218,0.5464567382142731,5,0.561996928438477
0.76,0.8564456817238533,0.5577678806492417,5,0.5772597093879426
0.77,0.8449453060589203,0.5692682563141747,5,0.592879325183595
0.78,0.8332702697450782,0.5809432926280167,5,0.6088340089502667
0.79,0.8214353666828028,0.5927781956902921,5,0.6251003584835408
0.8,0.8094555933460518,0.6047579690270432,5,0.641653382069892
0.81,0.7973461297796397,0.6168674325934552,5,0.6584665665149284
0.82,0.7851223203640034,0.6290912420090915,5,0.6755119676303258
0.83,0.7727996543717293,0.6414139080013657,5,0.6927603228867639
0.84,0.7603937463404833,0.6538198160326116,5,0.7101811853613518
0.85,0.7479203162872139,0.666293246085881,5,0.7277430775155687
0.86,0.7353951697886941,0.6788183925844008,5,0.7454136627583015
0.87,0.7228341779536517,0.6913793844194432,5,0.7631599322042301
0.88,0.7102532573118586,0.7039603050612363,5,0.7809484035565356
0.89,0.6976683496456662,0.7165452127274288,5,0.7987453286485937
0.9,0.6850954017895423,0.7291181605835526,5,0.8165169058922951
0.91,0.6725503454232065,0.7416632169498885,5,0.8342294937160408
0.92,0.6600490768839673,0.7541644854891276,5,0.8518498210420874
0.93,0.6476074370238458,0.7666061253492491,5,0.8693451909525718
0.94,0.6352411911370037,0.7789723712360912,5,0.8866836739208823
0.95,0.6229660089829161,0.7912475533901788,5,0.9038342873279386
0.96,0.610797444930599,0.803416117442496,5,0.9207671584235565
0.97,0.5987509182490535,0.8154626441240415,5,0.9374536684090304
0.98,0.5868416935688986,0.8273718688041963,5,0.953866575883242
0.99,0.5750848615399552,0.8391287008331397,5,0.9699801184847621
1.0,0.5634953197092855,0.8507182426638095,5,0.9857700921510076
1.01,0.5520877536439218,0.8621258087291731,5,1.001213907979065
1.02,0.5408766183222047,0.8733369440508902,5,1.0162906271912733
1.03,0.529876119817306,0.8843374425557889,5,1.0309809751662102
1.04,0.5191001972961531,0.8951133650769418,5,1.0452673358811002
1.05,0.508562505356558,0.9056510570165369,5,1.0591337284184728
1.06,0.49827639672493595,0.915937165648159,5,1.0725657674160483
1.07,0.4882549053365391,0.9259586570365559,5,1.085550609486329
1.08,0.47851072981963927,0.9357028325534557,5,1.0980768877063776
1.09,0.46905621740459486,0.9451573449685,5,1.110134636286425
1.1,0.45990334827818646,0.9543102140949085,5,1.1217152074776044
1.11,0.4510637204030481,0.9631498419700468,5,1.1328111826844083
1.12,0.4425485348214297,0.9716650275516652,5,1.14341627961689
1.13,0.43436858146191365,0.9798449809111813,5,1.153525257161207
1.14,0.4265342254670692,0.9876793369060257,5,1.1631338194742382
1.15,0.4190553940593697,0.9951581683137252,5,1.172238520626949
1.16,0.4119415639620169,1.002271998411078,5,1.180836670939012
1.17,0.4052017493906098,1.009011812982485,5,1.188926245969755
1.18,0.39884449063087507,1.01536907174222,5,1.1965057989622716
1.19,0.3928778432169335,1.0213357191561614,5,1.2035743773818655
1.2,0.38730936772381375,1.0269041946492812,5,1.2101314440491662
1.21,0.3821461201871483,1.0320674421859466,5,1.2161768032435565
1.22,0.37739464316219207,1.0368189192109027,5,1.221710532044559
1.23,0.3730609574334917,1.0411526049396032,5,1.2267329170874643
1.24,0.36915055438571065,1.0450630079873844,5,1.2312443968341702
1.25,0.36566838904527893,1.048545173327816,5,1.235245509400027
1.26,0.3626188738016831,1.0515946885714118,5,1.2387368459313117
1.27,0.3600058728163524,1.0542076895567425,5,1.241719009494412
1.28,0.3578326971262276,1.0563808652468674,5,1.2441925794155506
1.29,0.3561021004482147,1.0581114619248801,5,1.246158080997464
1.3,0.35481627568984114,1.0593972866832537,5,1.2476159605354467
1.31,0.35397685217053626,1.0602367102025587,5,1.2485665655582585
1.32,0.35358489355705597,1.060628668816039,5,1.24901013022819
1.33,0.35364089651566855,1.0605726658574264,5,1.248946765847881
1.34,0.3541447900828093,1.0600687722902857,5,1.2483764564380382
1.35,0.35509593575500087,1.059117626618094,5,1.2472990593688806
1.36,0.3564931282979269,1.057720434075168,5,1.2457143110477817
1.37,0.3583345972736317,1.0558789650994633,5,1.2436218376850854
1.38,0.360618009283912,1.053595553089183,5,1.241021171178334
1.39,0.36334047092705907,1.0508730914460358,5,1.237911770170987
1.4,0.36649853246420133,1.0477150299088935,5,1.2342930463540032
1.41,0.37008819219060585,1.044125370182489,5,1.2301643960861546
1.42,0.3741049015063964,1.0401086608666985,5,1.2255252374103671
1.43,0.3785435706802645,1.0356699916928305,5,1.2203750525374188
1.44,0.38339857529886895,1.030814987074226,5,1.2147134358535836
1.45,0.3886637633937529,1.025549798979342,5,1.208540147483857
1.46,0.39433246323674687,1.019881099136348,5,1.2018551724058477
1.47,0.40039749179397854,1.0138160705791164,5,1.1946587850598518
1.48,0.4068511638277798,1.007362398545315,5,1.1869516193367688
1.49,0.4136853016349556,1.0005282607381394,5,1.1787347437462778
1.5,0.42089124540907474,0.9933223169640202,5,1.1700097414721928
1.51,0.42845986421365373,0.9857536981594412,5,1.1607787949097403
1.52,0.4363815675523278,0.9778319948207671,5,1.151044774150691
1.53,0.4446463175213476,0.9695672448517474,5,1.1408113287375765
1.54,0.4532436415290047,0.9609699208440903,5,1.1300829818491596
1.55,0.4621626455658675,0.9520509168072274,5,1.118865225908443
1.56,0.4713920280090104,0.9428215343640844,5,1.1071646184254016
1.57,0.48092009394274826,0.9332934684303467,5,1.0949888767041358
1.58,0.4907347699777267,0.9234787923953682,5,1.0823469698644377
1.59,0.500823619549591,0.9133899428235039,5,1.0692492064581645
1.6,0.5111738586778496,0.9030397036952453,5,1.0557073158099524
1.61,0.5217723721649614,0.8924411902081335,5,1.04173452108923
1.62,0.5326057302151213,0.8816078321579737,5,1.0273456020363962
1.63,0.5436602054516851,0.8705533569214098,5,1.0125569452308756
1.64,0.5549217903116742,0.8592917720614207,5,0.9973865798125628
1.65,0.5663762147953098,0.8478373475777852,5,0.9818541966599242
1.66,0.5780089645480956,0.8362045978249993,5,0.9659811491947865
1.67,0.589805299252532,0.8244082631205629,5,0.9497904342301485
1.68,0.6017502713061529,0.812463291066942,5,0.9333066516041398
1.69,0.6138287447622259,0.800384817610869,5,0.9165559417474597
1.7,0.6260254145091106,0.7881881478639843,5,0.899565900805657
1.71,0.6383248256639681,0.7758887367091268,5,0.882365473469019
1.72,0.6507113931562563,0.7635021692168387,5,0.8649848242346688
1.73,0.6631694214761905,0.7510441408969044,5,0.8474551884167755
1.74,0.6756831245631424,0.7385304378099525,5,0.8298087048073871
1.75,0.6882366458087841,0.7259769165643108,5,0.8120782324464575
1.76,0.7008140781496227,0.7133994842234722,5,0.7942971544590545
1.77,0.7133994842234717,0.7008140781496233,5,0.7764991723358429
1.78,0.7259769165643106,0.6882366458087843,5,0.7587180943484394
1.79,0.738530437809952,0.675683124563143,5,0.7409876219875103
1.8,0.7510441408969043,0.6631694214761906,5,0.7233411383781213
1.81,0.7635021692168381,0.6507113931562568,5,0.7058115025602286
1.82,0.7758887367091267,0.6383248256639682,5,0.6884308533258778
1.83,0.7881881478639845,0.6260254145091104,5,0.6712304259892393
1.84,0.8003848176108688,0.6138287447622262,5,0.6542403850474372
1.85,0.8124632910669423,0.6017502713061527,5,0.6374896751907565
1.86,0.8244082631205627,0.5898052992525322,5,0.6210058925647484
1.87,0.8362045978249992,0.5780089645480957,5,0.6048151776001102
1.88,0.8478373475777847,0.5663762147953102,5,0.588942130134973
1.89,0.8592917720614205,0.5549217903116744,5,0.573409746982334
1.9,0.8705533569214093,0.5436602054516856,5,0.5582393815640218
1.91,0.8816078321579736,0.5326057302151214,5,0.5434507247585005
1.92,0.8924411902081336,0.5217723721649613,5,0.5290618057056664
1.93,0.9030397036952452,0.5111738586778497,5,0.5150890109849444
1.94,0.9133899428235039,0.500823619549591,5,0.5015471203367322
1.95,0.9234787923953681,0.4907347699777268,5,0.4884493569304591
1.96,0.9332934684303468,0.48092009394274815,5,0.47580745009076075
1.97,0.9428215343640841,0.4713920280090108,5,0.4636317083694955
1.98,0.9520509168072273,0.46216264556586767,5,0.4519311008864537
1.99,0.9609699208440898,0.4532436415290051,5,0.44071334494573766
2.0,0.9695672448517472,0.44464631752134776,5,0.4299849980573203
2.01,0.9778319948207668,0.4363815675523281,5,0.419751552644206
2.02,0.985753698159441,0.42845986421365384,5,0.41001753188515644
2.03,0.9933223169640202,0.4208912454090747,5,0.4007865853227037
2.04,1.0005282607381392,0.41368530163495565,5,0.3920615830486189
2.05,1.0073623985453153,0.4068511638277797,5,0.3838447074581276
2.06,1.0138160705791164,0.4003974917939786,5,0.3761375417350449
2.07,1.0198810991363478,0.394332463236747,5,0.368941154389049
2.08,1.0255497989793418,0.38866376339375314,5,0.36225617931103987
2.09,1.0308149870742258,0.383398575298869,5,0.35608289094131307
2.1,1.0356699916928302,0.3785435706802646,5,0.35042127425747793
2.11,1.0401086608666983,0.3741049015063965,5,0.3452710893845298
2.12,1.044125370182489,0.3700881921906059,5,0.34063193070874204
2.13,1.0477150299088935,0.3664985324642014,5,0.33650328044089345
2.14,1.0508730914460358,0.363340470927059,5,0.33288455662390953
2.15,1.053595553089183,0.3606180092839121,5,0.3297751556165625
2.16,1.0558789650994633,0.35833459727363165,5,0.3271744891098113
2.17,1.057720434075168,0.35649312829792695,5,0.32508201574711504
2.18,1.059117626618094,0.35509593575500087,5,0.3234972674260159
2.19,1.0600687722902857,0.3541447900828093,5,0.3224198703568585
2.2,1.0605726658574264,0.35364089651566855,5,0.3218495609470156
2.21,1.060628668816039,0.35358489355705597,5,0.3217861965667066
2.22,1.0602367102025587,0.35397685217053626,5,0.3222297612366382
2.23,1.0593972866832537,0.3548162756898412,5,0.32318036625945
2.24,1.0581114619248801,0.3561021004482147,5,0.3246382457974328
2.25,1.0563808652468671,0.35783269712622773,5,0.3266037473793462
2.26,1.0542076895567425,0.36000587281635243,5,0.3290773173004848
2.27,1.051594688571412,0.362618873801683,5,0.3320594808635846
2.28,1.0485451733278162,0.3656683890452788,5,0.33555081739486936
2.29,1.0450630079873844,0.36915055438571054,5,0.33955192996072636
2.3,1.0411526049396034,0.37306095743349155,5,0.34406340970743204
2.31,1.0368189192109027,0.3773946431621921,5,0.34908579475033774
2.32,1.0320674421859468,0.38214612018714816,5,0.3546195235513399
2.33,1.0269041946492814,0.3873093677238135,5,0.3606648827457301
2.34,1.0213357191561614,0.3928778432169336,5,0.3672219494130312
2.35,1.01536907174222,0.398844490630875,5,0.37429052783262495
2.36,1.009011812982485,0.4052017493906099,5,0.38187008082514173
2.37,1.0022719984110782,0.4119415639620168,5,0.38995965585588455
2.38,0.9951581683137252,0.41905539405936976,5,0.3985578061679476
2.39,0.9876793369060262,0.42653422546706876,5,0.4076625073206578
2.4,0.9798449809111813,0.43436858146191354,5,0.41727106963368954
2.41,0.9716650275516656,0.44254853482142936,5,0.42738004717800604
2.42,0.9631498419700469,0.451063720403048,5,0.43798514411048817
2.43,0.9543102140949082,0.4599033482781867,5,0.44908111931729255
2.44,0.9451573449685,0.4690562174045949,5,0.4606616905084715
2.45,0.9357028325534558,0.47851072981963916,5,0.472719439088519
2.46,0.9259586570365561,0.4882549053365388,5,0.48524571730856736
2.47,0.915937165648159,0.49827639672493595,5,0.4982305593788484
2.48,0.9056510570165374,0.5085625053565576,5,0.5116625983764234
2.49,0.8951133650769418,0.5191001972961531,5,0.5255289909137963
2.5,0.884337442555789,0.5298761198173059,5,0.5398153516286863
2.51,0.8733369440508907,0.5408766183222042,5,0.5545056996036227
2.52,0.8621258087291737,0.5520877536439213,5,0.5695824188158309
2.53,0.8507182426638098,0.5634953197092851,5,0.5850262346438885
2.54,0.8391287008331396,0.5750848615399553,5,0.6008162083101347
2.55,0.8273718688041963,0.5868416935688986,5,0.6169297509116546
2.56,0.8154626441240411,0.5987509182490538,5,0.6333426583858666
2.57,0.8034161174424959,0.6107974449305991,5,0.6500291683713403
2.58,0.7912475533901792,0.6229660089829158,5,0.6669620394669575
2.59,0.7789723712360918,0.6352411911370032,5,0.6841126528740135
2.6,0.7666061253492492,0.6476074370238457,5,0.7014511358423247
2.61,0.754164485489128,0.660049076883967,5,0.7189465057528088
2.62,0.7416632169498885,0.6725503454232065,5,0.7365668330788558
2.63,0.7291181605835528,0.6850954017895421,5,0.7542794209026012
2.64,0.7165452127274293,0.6976683496456656,5,0.7720509981463021
2.65,0.7039603050612365,0.7102532573118584,5,0.7898479232383607
2.66,0.6913793844194436,0.7228341779536513,5,0.807636394590666
2.67,0.6788183925844008,0.7353951697886941,5,0.8253826640365952
2.68,0.6662932460858813,0.7479203162872137,5,0.8430532492793277
2.69,0.6538198160326113,0.7603937463404836,5,0.8606151414335453
2.7,0.6414139080013664,0.7727996543717285,5,0.8780360039081316
2.71,0.6290912420090918,0.7851223203640031,5,0.8952843591645703
2.72,0.6168674325934557,0.7973461297796393,5,0.9123297602799676
2.73,0.6047579690270434,0.8094555933460515,5,0.9291429447250042
2.74,0.5927781956902918,0.8214353666828031,5,0.9456959683113563
2.75,0.5809432926280167,0.8332702697450782,5,0.9619623178446299
2.76,0.569268256314175,0.8449453060589199,5,0.9779170016113011
2.77,0.557767880649242,0.8564456817238529,5,0.9935366174069536
2.78,0.5464567382142731,0.8677568241588218,5,1.0087993983564196
2.79,0.5353491618054119,0.878864400567683,5,1.0236852372661052
2.8,0.5244592262722335,0.8897543361008614,5,1.0381756906713773
2.81,0.5138007306829498,0.9004128316901451,5,1.052253964088469
2.82,0.5033871808390606,0.9108263815340343,5,1.0659048802468685
2.83,0.4932317721616195,0.9209817902114754,5,1.0791148322644784
2.84,0.4833473729707955,0.9308661894022994,5,1.0918717238377869
2.85,0.4737465081799116,0.9404670541931833,5,1.1041648985593
2.86,0.46444134342463567,0.9497722189484592,5,1.1159850604531252
2.87,0.4554436696474182,0.9587698927256767,5,1.1273241877468123
2.88,0.4467648881567264,0.9674486742163686,5,1.1381754417835876
2.89,0.43841599617999166,0.9757975661931033,5,1.1485330728344239
2.9,0.4304075729285895,0.9838059894445055,5,1.158392324403618
2.91,0.4227497661925016,0.9914637961805933,5,1.1677493374436316
2.92,0.4154522794816507,0.9987612828914443,5,1.176601055712527
2.93,0.408524359730197,1.0056892026428979,5,1.1849451333268979
2.94,0.40197478557938454,1.0122387767937104,5,1.1927798453898455
2.95,0.3958118562537753,1.0184017061193196,5,1.2001040024112803
2.96,0.39004338104497444,1.0241701813281205,5,1.2069168690893424
2.97,0.3846766694161686,1.0295368929569264,5,1.213218087888858
2.98,0.37971852174001414,1.0344950406330808,5,1.2190076077363896
2.99,0.3751752206816176,1.0390383416914772,5,1.224285618051779
3.0,0.37105252323752064,1.0431610391355743,5,1.229052488252866
3.01,0.3673556534407835,1.0468579089323113,5,1.2333087128024256
3.02,0.364089295741404,1.050124266631691,5,1.2370548618133828
3.03,0.3612575890704678,1.0529559733026272,5,1.2402915371886378
3.04,0.3588641215955436,1.0553494407775514,5,1.243019334244162
3.05,0.3569119261739744,1.0573016361991205,5,1.2452388087468262
3.06,0.35540347650982396,1.058810085863271,5,1.2469504492904184
3.07,0.3543406840193487,1.059872878353746,5,1.248154654933002
3.08,0.3537248954089661,1.0604886669641287,5,1.248851718024875
3.09,0.3535568909687903,1.0606566714043046,5,1.2490418121675897
3.1,0.35383688358389487,1.0603766787892002,5,1.248724985259572
3.11,0.3545645184645586,1.0596490439085362,5,1.2479011576016326
3.12,0.3557388735958327,1.0584746887772623,5,1.246570125054964
3.13,0.3573584609058631,1.0568551014672318,5,1.2447315672639403
3.14,0.35942122815148503,1.05479233422161,5,1.2423850609750495
3.15,0.36192456151870095,1.052289000854394,5,1.2395300985004905
3.16,0.36486528893474884,1.0493482734383461,5,1.2361661113891809
3.17,0.3682396840875598,1.045973878285535,5,1.2322924993779771
3.18,0.3720434711475167,1.0421700912255782,5,1.2279086647005208
3.19,0.376271830185526,1.0379417321875688,5,1.2230140518290424
3.2,0.3809194032805416,1.0332941590925533,5,1.2176081927142621
3.21,0.385980301308798,1.028233261064297,5,1.2116907575688647
3.22,0.39144811140615254,1.0227654509669424,5,1.205261611209452
3.23,0.3973159050940783,1.0168976572790167,5,1.1983208749289778
3.24,0.40357624705901424,1.0106373153140806,5,1.190868993815115
3.25,0.41022120457394534,1.0039923577991496,5,1.1829068093585806
3.26,0.41724235755027445,0.9969712048228205,5,1.174435637108154
3.27,0.4246308092072503,0.9895827531658445,5,1.1654573490253155
