rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,channels
1749504108736077146,,19425,,1749161676,695979928,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504108935902519,,19426,,1749161676,797015256,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504109133523268,,19427,,1749161676,894050816,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504109334986353,,19428,,1749161676,993724120,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504109540867871,,19429,,1749161677,98802168,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504109734505893,,19430,,1749161677,194429496,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504109934054291,,19431,,1749161677,294130568,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504110140152207,,19432,,1749161677,396569872,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504110333545302,,19433,,1749161677,494877432,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504110536985755,,19434,,1749161677,597285736,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504110736578101,,19435,,1749161677,696998784,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504110934004897,,19436,,1749161677,795332856,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504111135957120,,19437,,1749161677,895013672,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504111333375748,,19438,,1749161677,994697976,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504111533303385,,19439,,1749161678,94423280,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504111738835060,,19440,,1749161678,196791864,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504111934482754,,19441,,1749161678,295180912,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504112138162907,,19442,,1749161678,397512912,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504112337688850,,19443,,1749161678,497196472,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504112539375962,,19444,,1749161678,596923216,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504112735094490,,19445,,1749161678,695267240,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504112932844904,,19446,,1749161678,794965032,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504113138497309,,19447,,1749161678,897320544,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504113334298281,,19448,,1749161678,995692568,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504113535834352,,19449,,1749161679,95388384,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504113737586182,,19450,,1749161679,197730688,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504113935444806,,19451,,1749161679,294776736,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504114136711776,,19452,,1749161679,397138016,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504114336551090,,19453,,1749161679,496843064,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504114536180489,,19454,,1749161679,596544576,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504114735658691,,19455,,1749161679,696188392,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504114935403869,,19456,,1749161679,798630904,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504115135152823,,19457,,1749161679,894315464,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504115336746292,,19458,,1749161679,996641256,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504115534739897,,19459,,1749161680,96377304,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504115732318217,,19460,,1749161680,193414632,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504115939975575,,19461,,1749161680,298392448,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504116135441236,,19462,,1749161680,396762008,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504116337231935,,19463,,1749161680,497846312,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504116538983044,,19464,,1749161680,597565312,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504116738172974,,19465,,1749161680,697196360,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504116935778943,,19466,,1749161680,795603640,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504117137907970,,19467,,1749161680,897903712,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504117335483883,,19468,,1749161680,997644272,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504117539167027,,19469,,1749161681,97314576,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504117736801528,,19470,,1749161681,195705160,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504117936738415,,19471,,1749161681,295438208,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504118138128607,,19472,,1749161681,397775536,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504118337834969,,19473,,1749161681,496143352,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504118537851462,,19474,,1749161681,597201240,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504118733351558,,19475,,1749161681,694228056,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504118936815011,,19476,,1749161681,796596800,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504119138404033,,19477,,1749161681,896279592,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504119334558900,,19478,,1749161681,994628664,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504119538250609,,19479,,1749161682,96950152,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504119733694823,,19480,,1749161682,194008504,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504119935555843,,19481,,1749161682,296376808,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504120139037487,,19482,,1749161682,398742344,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504120344797116,,19483,,1749161682,499722344,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504120532354071,,19484,,1749161682,594093416,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504120732242325,,19485,,1749161682,695128184,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504120933786758,,19486,,1749161682,794864000,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504121137403052,,19487,,1749161682,897214560,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504121335036087,,19488,,1749161682,996954864,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504121534527887,,19489,,1749161683,96606424,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504121742302065,,19490,,1749161683,200274496,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504121938355015,,19491,,1749161683,297384568,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504122133474553,,19492,,1749161683,394426384,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504122341566992,,19493,,1749161683,498100944,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504122537220294,,19494,,1749161683,595106248,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504122738449851,,19495,,1749161683,697467808,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504122943186846,,19496,,1749161683,798487856,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504123136506946,,19497,,1749161683,895542648,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504123335844318,,19498,,1749161683,995222720,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504123535487993,,19499,,1749161684,97573280,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504123739235109,,19500,,1749161684,198671608,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504123940721928,,19501,,1749161684,298330656,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504124136532796,,19502,,1749161684,395342472,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504124336275449,,19503,,1749161684,495090264,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504124535876997,,19504,,1749161684,596122568,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504124737715168,,19505,,1749161684,695785104,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504124937408119,,19506,,1749161684,795491408,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504125135103541,,19507,,1749161684,896517456,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504125336634914,,19508,,1749161684,996246504,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504125538341795,,19509,,1749161685,98604832,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504125735908258,,19510,,1749161685,195591904,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504125939863314,,19511,,1749161685,297945720,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504126135139323,,19512,,1749161685,396339512,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504126334654709,,19513,,1749161685,496019024,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504126540736868,,19514,,1749161685,597060072,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504126738209856,,19515,,1749161685,696732888,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504126935819358,,19516,,1749161685,795146704,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504127137582733,,19517,,1749161685,897495520,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749504127339340075,,19518,,1749161685,997185824,'',"[1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
