rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1749504108682473344,,48032,,1749161676,668068928,"""map""",,,-0.5440979599952698,0.010217097587883472,1.738934874534607,,-0.0597116905319673,-0.03801223674507471,0.22205560256092105,-0.9724613585092563
1749504108748270074,,48033,,1749161676,700068928,"""map""",,,-0.549126923084259,0.004902129992842674,1.7407071590423584,,-0.06503867615483026,-0.034269045395554136,0.25121877721324615,-0.9651346346578196
1749504108814411844,,48034,,1749161676,731068928,"""map""",,,-0.5550997853279114,-0.0019856812432408333,1.741610050201416,,-0.06793595062023433,-0.03209375698185381,0.2780548557718906,-0.9576222117918438
1749504108882342484,,48035,,1749161676,763072256,"""map""",,,-0.5621868371963501,-0.010280885733664036,1.7414206266403198,,-0.06877037524414203,-0.03116470214632703,0.29341755064150554,-0.9529981967480166
1749504108947994099,,48036,,1749161676,795072256,"""map""",,,-0.5703907608985901,-0.019476300105452538,1.740282416343689,,-0.06788158645401135,-0.029042130220490726,0.32369519333557983,-0.9432763307159784
1749504109017784735,,48037,,1749161676,838072256,"""map""",,,-0.5829240679740906,-0.033233642578125,1.738271951675415,,-0.06542659706561356,-0.026492318325477514,0.3526268764224588,-0.9330979721677186
1749504109083798163,,48038,,1749161676,870074816,"""map""",,,-0.5930519104003906,-0.0447809062898159,1.7365341186523438,,-0.06470710294632802,-0.025389762036788586,0.3636752512911046,-0.9289288059130211
1749504109147285679,,48039,,1749161676,903074816,"""map""",,,-0.6036297082901001,-0.056785836815834045,1.7338459491729736,,-0.06167926149550425,-0.020547332804354824,0.3912149714856385,-0.9180001702409948
1749504109215437521,,48040,,1749161676,934074816,"""map""",,,-0.6147508025169373,-0.06945952773094177,1.7309707403182983,,-0.05665983657274898,-0.011669166337074816,0.4263481207889862,-0.9027074812867565
1749504109283492973,,48041,,1749161676,967077120,"""map""",,,-0.6259106397628784,-0.08296658098697662,1.728750467300415,,-0.054665761168399274,-0.008556919236662897,0.4457695993170487,-0.8934360596981785
1749504109355445194,,48042,,1749161677,8077120,"""map""",,,-0.640480637550354,-0.10118772089481354,1.7256659269332886,,-0.051448989883680345,-0.005018246128085954,0.48149223551709397,-0.874924679143436
1749504109415046529,,48043,,1749161677,29077120,"""map""",,,-0.647739827632904,-0.11025179922580719,1.7243006229400635,,-0.04676670945596486,-0.0006357983806769733,0.5226332705616998,-0.8512737432938811
1749504109481491080,,48044,,1749161677,72079168,"""map""",,,-0.6622939109802246,-0.1298266500234604,1.723253607749939,,-0.04576719430935098,-0.00036788930393944483,0.5439242041655994,-0.837885343785774
1749504109552984849,,48045,,1749161677,104079168,"""map""",,,-0.6734070777893066,-0.14639587700366974,1.7238924503326416,,-0.047840748133280105,-0.0034417933089185815,0.5872449899214915,-0.8079868119940551
1749504109614807265,,48046,,1749161677,136079168,"""map""",,,-0.6852065324783325,-0.16393660008907318,1.7250899076461792,,-0.051472542069463854,-0.006912486185025497,0.6242466407282288,-0.7794992460550036
1749504109684615716,,48047,,1749161677,168082496,"""map""",,,-0.6981049180030823,-0.18173015117645264,1.7261292934417725,,-0.05397644682682559,-0.008659201735464766,0.6445447420951815,-0.762609728914521
1749504109748748265,,48048,,1749161677,199082496,"""map""",,,-0.7121283411979675,-0.19957441091537476,1.7264729738235474,,-0.05990931117773436,-0.01109478908556838,0.6788477249234101,-0.7317470247428426
1749504109818337631,,48049,,1749161677,231082496,"""map""",,,-0.7271366119384766,-0.21727152168750763,1.7261875867843628,,-0.0678249713826601,-0.010470249181799859,0.7171104449989966,-0.6935725601680378
1749504109886046983,,48050,,1749161677,274085568,"""map""",,,-0.7481144666671753,-0.24068675935268402,1.7250677347183228,,-0.0702888708782509,-0.00928699748328076,0.7314763366082815,-0.6781707833160522
1749504109956335928,,48051,,1749161677,306085568,"""map""",,,-0.7641884684562683,-0.2581556439399719,1.7236769199371338,,-0.07585300825660606,-0.005263269466082096,0.7690805503714668,-0.6346131586133091
1749504110020105786,,48052,,1749161677,338085568,"""map""",,,-0.7801732420921326,-0.2754895091056824,1.7217427492141724,,-0.07933666128863007,-0.0021778672739935995,0.8043993565425049,-0.5887637094607331
1749504110081967312,,48053,,1749161677,370087872,"""map""",,,-0.7963106036186218,-0.29260218143463135,1.7192330360412598,,-0.07976862170484018,-0.0014570639682261897,0.816502635419242,-0.5718027534120244
1749504110147914547,,48054,,1749161677,401087872,"""map""",,,-0.812859296798706,-0.30990585684776306,1.7164818048477173,,-0.07925911372154806,0.00013744087299401666,0.8464024632265525,-0.5266126390208405
1749504110217726827,,48055,,1749161677,433087872,"""map""",,,-0.8303177952766418,-0.32772886753082275,1.7138686180114746,,-0.07792932006493464,0.001403966841636533,0.8699305726228347,-0.4869763412984829
1749504110283786302,,48056,,1749161677,465090432,"""map""",,,-0.8493030667304993,-0.3454185426235199,1.7109827995300293,,-0.0763711194653505,0.0024444039439764586,0.8825128820430344,-0.4640393098424296
1749504110353927338,,48057,,1749161677,508090432,"""map""",,,-0.8768949508666992,-0.3674147427082062,1.707103967666626,,-0.07234803682176966,0.005033408456837758,0.9029712362647377,-0.4235369259933094
1749504110417507094,,48058,,1749161677,540090432,"""map""",,,-0.8995528817176819,-0.3829176425933838,1.7047330141067505,,-0.07095769131473621,0.009056261926929815,0.9247135942263254,-0.37388197466841194
1749504110483462069,,48059,,1749161677,572092736,"""map""",,,-0.9241381287574768,-0.39753258228302,1.7029091119766235,,-0.07122085096848217,0.01261928801141196,0.9351562345881725,-0.3467727002377197
