rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1726109483478350322,,10947,,1722536971,535796352,"""map""",,,-0.6525692343711853,-0.06516706198453903,0.2637965679168701,,-0.01897502552286524,-0.025734188058453192,0.7754790899832164,-0.6305631256942836
1726109483504783016,,10948,,1722536971,556796352,"""map""",,,-0.653235137462616,-0.06752143055200577,0.26978906989097595,,-0.016044270654675327,-0.025490876936177832,0.776270370722228,-0.6296802177066091
1726109483537233460,,10949,,1722536971,588796352,"""map""",,,-0.6539750099182129,-0.07084707915782928,0.27951687574386597,,-0.014353654864509836,-0.017971421144129036,0.7777862769593316,-0.6281079189861981
1726109483570342591,,10950,,1722536971,630795328,"""map""",,,-0.6545302867889404,-0.07502808421850204,0.2936978042125702,,-0.013301339882992645,-0.012181076731891142,0.7791574403819365,-0.6265688425191258
1726109483605488048,,10951,,1722536971,662795328,"""map""",,,-0.6546611189842224,-0.07782214134931564,0.30518120527267456,,-0.012499173279786878,-0.010573244390395477,0.7796586138259356,-0.6259907932234429
1726109483637173100,,10952,,1722536971,694795328,"""map""",,,-0.6544957756996155,-0.08007333427667618,0.31725555658340454,,-0.011543939818342642,-0.0022708896491964404,0.7810207947014516,-0.6243941915765091
1726109483670093142,,10953,,1722536971,726794304,"""map""",,,-0.6540440320968628,-0.08187330514192581,0.32993826270103455,,-0.008990106850563688,0.0036664284382198105,0.7812349639121597,-0.6241615620461534
1726109483705867951,,10954,,1722536971,757794304,"""map""",,,-0.6533079743385315,-0.0830555185675621,0.3432743549346924,,-0.00879353987600945,0.005852343784645454,0.7821491659348534,-0.6230018124840351
1726109483736974603,,10955,,1722536971,790794304,"""map""",,,-0.6523840427398682,-0.0836319699883461,0.35708335041999817,,-0.007423566937238839,0.010360203595701778,0.7829338190819367,-0.621974393489529
1726109483769474940,,10956,,1722536971,821793024,"""map""",,,-0.6512735486030579,-0.08356603235006332,0.37138044834136963,,-0.006121194250757163,0.010915223096032217,0.7840188633550694,-0.6206108428414363
1726109483804270338,,10957,,1722536971,853793024,"""map""",,,-0.6499181389808655,-0.08265841007232666,0.3860641419887543,,-0.002912120363519787,0.010212300261473304,0.7844411695087925,-0.6201123351856055
