rosbagTimestamp,data
1749500917750062888,-190.931884765625
1749500917820188661,-176.68875122070312
1749500917887785603,-175.50717163085938
1749500917954728002,-147.49288940429688
1749500918020932481,-140.9490203857422
1749500918088247513,-156.16717529296875
1749500918158063434,-191.41221618652344
1749500918214980741,-190.6628875732422
1749500918279581300,-212.06492614746094
1749500918354423852,-231.69503784179688
1749500918421965246,-258.8545837402344
1749500918486432098,-260.6907043457031
1749500918554861587,-294.2220458984375
1749500918623588588,-286.0377197265625
1749500918686051580,-286.77166748046875
1749500918754866297,-297.4501647949219
1749500918819523972,-290.59442138671875
1749500918888545654,-286.88092041015625
1749500918957214781,-281.4036560058594
1749500919020451538,-280.7204284667969
1749500919090544682,-259.63995361328125
1749500919154706290,-260.629638671875
1749500919220134672,-255.01217651367188
1749500919288121909,-245.2030029296875
1749500919354903927,-201.94281005859375
1749500919421282592,-229.34446716308594
1749500919488015251,-222.61207580566406
1749500919554158787,-193.32933044433594
1749500919621234061,-195.25088500976562
1749500919688543268,-204.7404327392578
1749500919755794734,-205.00645446777344
1749500919823031512,-188.742919921875
1749500919887939242,-202.95571899414062
1749500919954264574,-209.91514587402344
1749500920022913803,-218.40444946289062
1749500920090219210,-217.412841796875
1749500920157262069,-235.66392517089844
1749500920223206669,-253.7481689453125
1749500920288027309,-256.0770263671875
1749500920353966111,-286.40338134765625
1749500920421249299,-298.8668212890625
1749500920489326025,-293.3812561035156
1749500920553546833,-288.8443908691406
1749500920621692600,-268.759521484375
1749500920689130034,-252.596923828125
1749500920754871158,-231.18431091308594
1749500920822923578,-173.86427307128906
1749500920888136695,-176.3592987060547
1749500920952057936,-142.88970947265625
1749500921024944912,-147.00364685058594
1749500921090363546,-158.95831298828125
1749500921155997667,-169.91583251953125
1749500921225948593,-181.4012451171875
1749500921286951347,-199.5843505859375
1749500921357248262,-218.76206970214844
1749500921426329359,-218.6561279296875
1749500921493046688,-238.60072326660156
1749500921558116866,-244.58653259277344
1749500921623204899,-244.12173461914062
1749500921687791969,-247.4066925048828
1749500921755373636,-229.6918182373047
1749500921824896301,-233.31854248046875
1749500921890613147,-219.43418884277344
1749500921956651956,-212.62525939941406
1749500922023437746,-205.9120330810547
1749500922090287794,-200.3430938720703
1749500922156743042,-196.1421661376953
1749500922222924375,-191.58265686035156
1749500922289508973,-191.77853393554688
1749500922357690356,-165.88197326660156
1749500922425992157,-140.55819702148438
1749500922493690592,-153.51194763183594
1749500922557265085,-184.35569763183594
1749500922626005006,-196.52728271484375
1749500922692830485,-180.81640625
1749500922760233579,-213.25909423828125
1749500922827350853,-228.51589965820312
1749500922895311262,-228.7462921142578
1749500922956793010,-193.36473083496094
1749500923024026798,-195.65882873535156
1749500923094053983,-178.38711547851562
1749500923158930856,-164.0400848388672
1749500923227315095,-144.45579528808594
1749500923283853649,-109.10023498535156
1749500923352461631,-134.85333251953125
1749500923417631439,-164.4307098388672
1749500923486384853,-155.01873779296875
1749500923559583242,-153.31185913085938
1749500923626298518,-171.7401885986328
1749500923696547239,-179.7471923828125
1749500923756192169,-172.3633270263672
1749500923825381931,-136.54847717285156
1749500923890961287,-142.78582763671875
1749500923960604772,-130.20352172851562
1749500924018400297,-129.79324340820312
1749500924089940049,-160.019775390625
1749500924160137154,-177.09384155273438
1749500924225253283,-195.96705627441406
1749500924292089608,-217.14785766601562
1749500924360701360,-213.3486328125
1749500924424662294,-259.15582275390625
1749500924491236236,-273.578369140625
1749500924556962810,-299.66705322265625
1749500924623678516,-276.0994873046875
1749500924694560152,-282.5563049316406
1749500924758782228,-271.4513854980469
1749500924830329036,-250.2871856689453
1749500924892100978,-242.8868408203125
1749500924959991731,-225.329345703125
1749500925024762180,-217.7074737548828
1749500925092641422,-221.81544494628906
1749500925160253843,-196.31716918945312
1749500925227660177,-210.05264282226562
1749500925292440505,-203.2713623046875
1749500925360562105,-185.86390686035156
1749500925425363254,-185.3458251953125
1749500925495000221,-165.26373291015625
1749500925563104243,-147.2372283935547
1749500925627141386,-160.15980529785156
1749500925694198687,-174.76905822753906
1749500925759161312,-168.0885772705078
1749500925825897347,-179.019775390625
1749500925895868214,-209.49122619628906
1749500925960474196,-204.72406005859375
1749500926027461244,-210.84585571289062
1749500926094758216,-234.30941772460938
1749500926159101089,-241.24951171875
1749500926224570653,-245.90866088867188
1749500926293156615,-240.23085021972656
1749500926364182673,-233.80685424804688
1749500926427519427,-237.29969787597656
1749500926499290764,-245.57919311523438
1749500926561557280,-238.24154663085938
1749500926625216032,-230.2946014404297
1749500926694397886,-238.85317993164062
1749500926761702073,-232.54269409179688
1749500926829788508,-205.24945068359375
1749500926894860697,-182.54676818847656
1749500926960065553,-169.50718688964844
1749500927030630550,-160.5462646484375
1749500927092262061,-109.7400894165039
1749500927159640536,-105.51146697998047
1749500927233296497,-121.60792541503906
1749500927295861227,-81.59795379638672
1749500927360026981,-111.90379333496094
1749500927427399766,-120.55716705322266
1749500927494247551,-133.39979553222656
1749500927561881079,-147.0686492919922
1749500927629928609,-209.01528930664062
1749500927694966877,-280.94927978515625
