rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,coordinate_frame,type_mask,position,x,y,z,velocity,x,y,z,acceleration_or_force,x,y,z,yaw,yaw_rate
1749500917716717618,,17798,,1748034779,402515888,'',1,1507,,0.0,0.0,2.0,,-0.8780879294087288,-0.4784993084913408,0.0,,0.0,0.0,0.0,0.0,-0.012629090808331966
1749500917737373237,,17799,,1748034779,412817001,'',1,1507,,0.0,0.0,2.0,,-0.8776685651505669,-0.4792680771202534,0.0,,0.0,0.0,0.0,0.0,-0.013966452330350876
1749500917757207154,,17800,,1748034779,422611713,'',1,1507,,0.0,0.0,2.0,,-0.8767808789478962,-0.48089010211414673,0.0,,0.0,0.0,0.0,0.0,-0.013309655711054802
1749500917776977976,,17801,,1748034779,432614803,'',1,1507,,0.0,0.0,2.0,,-0.8763521847244501,-0.4816708921335015,0.0,,0.0,0.0,0.0,0.0,-0.013764314353466034
1749500917796707326,,17802,,1748034779,442499637,'',1,1507,,0.0,0.0,2.0,,-0.8754548214201279,-0.483299964465395,0.0,,0.0,0.0,0.0,0.0,-0.013084269128739834
1749500917817000049,,17803,,1748034779,452489614,'',1,1507,,0.0,0.0,2.0,,-0.8749987579089257,-0.484125163214883,0.0,,0.0,0.0,0.0,0.0,-0.012543492950499058
1749500917836824875,,17804,,1748034779,462565183,'',1,1507,,0.0,0.0,2.0,,-0.8749987579089257,-0.484125163214883,0.0,,0.0,0.0,0.0,0.0,-0.012543492950499058
1749500917856710593,,17805,,1748034779,472495794,'',1,1507,,0.0,0.0,2.0,,-0.8736091090888092,-0.4866283227649796,0.0,,0.0,0.0,0.0,0.0,-0.01169203408062458
1749500917877657831,,17806,,1748034779,482514619,'',1,1507,,0.0,0.0,2.0,,-0.8731497728076395,-0.48745202250679776,0.0,,0.0,0.0,0.0,0.0,-0.011713606305420399
1749500917896879565,,17807,,1748034779,492472887,'',1,1507,,0.0,0.0,2.0,,-0.8726812939597617,-0.48829024071008803,0.0,,0.0,0.0,0.0,0.0,-0.011487642303109169
1749500917916819100,,17808,,1748034779,502477407,'',1,1507,,0.0,0.0,2.0,,-0.8722045365372448,-0.48914133585687675,0.0,,0.0,0.0,0.0,0.0,-0.011278976686298847
1749500917937019433,,17809,,1748034779,512514114,'',1,1507,,0.0,0.0,2.0,,-0.871729931628442,-0.48998665931132446,0.0,,0.0,0.0,0.0,0.0,-0.011381327174603939
1749500917956759305,,17810,,1748034779,522481203,'',1,1507,,0.0,0.0,2.0,,-0.8712482072505042,-0.4908427053168688,0.0,,0.0,0.0,0.0,0.0,-0.011391029693186283
1749500917976819692,,17811,,1748034779,532466650,'',1,1507,,0.0,0.0,2.0,,-0.870763161545363,-0.4917026708240702,0.0,,0.0,0.0,0.0,0.0,-0.01144472323358059
1749500917996731147,,17812,,1748034779,542464017,'',1,1507,,0.0,0.0,2.0,,-0.8697899557731281,-0.4934221649218644,0.0,,0.0,0.0,0.0,0.0,-0.010377221740782261
1749500918017871850,,17813,,1748034779,552618026,'',1,1507,,0.0,0.0,2.0,,-0.8693054132260785,-0.49427532665088275,0.0,,0.0,0.0,0.0,0.0,-0.01174914836883545
1749500918037181693,,17814,,1748034779,562505245,'',1,1507,,0.0,0.0,2.0,,-0.8693054132260785,-0.49427532665088275,0.0,,0.0,0.0,0.0,0.0,-0.01174914836883545
1749500918057000243,,17815,,1748034779,572512626,'',1,1507,,0.0,0.0,2.0,,-0.8693054132260785,-0.49427532665088275,0.0,,0.0,0.0,0.0,0.0,-0.01174914836883545
1749500918078059530,,17816,,1748034779,582551479,'',1,1507,,0.0,0.0,2.0,,-0.8683290432558168,-0.49598858115730615,0.0,,0.0,0.0,0.0,0.0,-0.011078962124884129
1749500918096884729,,17817,,1748034779,592507600,'',1,1507,,0.0,0.0,2.0,,-0.8668465640960095,-0.4985750037004894,0.0,,0.0,0.0,0.0,0.0,-0.010662015527486801
1749500918117044282,,17818,,1748034779,602537155,'',1,1507,,0.0,0.0,2.0,,-0.8663506043692296,-0.4994363125655469,0.0,,0.0,0.0,0.0,0.0,-0.009616508148610592
1749500918136936685,,17819,,1748034779,612488031,'',1,1507,,0.0,0.0,2.0,,-0.8663506043692296,-0.4994363125655469,0.0,,0.0,0.0,0.0,0.0,-0.009616508148610592
1749500918157020520,,17820,,1748034779,622524738,'',1,1507,,0.0,0.0,2.0,,-0.8658500880771193,-0.500303532844657,0.0,,0.0,0.0,0.0,0.0,-0.013402105309069157
1749500918177210184,,17821,,1748034779,632456541,'',1,1507,,0.0,0.0,2.0,,-0.8648598650648825,-0.5020133601807357,0.0,,0.0,0.0,0.0,0.0,-0.012074531055986881
1749500918196650305,,17822,,1748034779,642479658,'',1,1507,,0.0,0.0,2.0,,-0.8643707354496588,-0.5028550802151808,0.0,,0.0,0.0,0.0,0.0,-0.012870044447481632
1749500918217250847,,17823,,1748034779,652699470,'',1,1507,,0.0,0.0,2.0,,-0.8638740504751024,-0.5037078765671035,0.0,,0.0,0.0,0.0,0.0,-0.01277105137705803
1749500918236895467,,17824,,1748034779,662491559,'',1,1507,,0.0,0.0,2.0,,-0.8633465766520756,-0.5046114233577573,0.0,,0.0,0.0,0.0,0.0,-0.010727206245064735
1749500918256775449,,17825,,1748034779,672532320,'',1,1507,,0.0,0.0,2.0,,-0.8623524106128562,-0.5063085224546354,0.0,,0.0,0.0,0.0,0.0,-0.010460149496793747
