rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1749516171279693590,,16054,,1749160858,21756888,"""base_link""",,-9.058157354593277e-06,2.0669348537921904e-05,-2.653242945671082e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516171323237757,,16055,,1749160858,41739888,"""base_link""",,-1.157897561788559e-05,1.6286583244800566e-05,-2.8064712882041936e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516171563407880,,16056,,1749160858,161741168,"""base_link""",,-8.204661309719086e-06,1.9708716869354244e-05,-2.53589540719986e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516171600843366,,16057,,1749160858,181701168,"""base_link""",,-7.061681151390076e-06,2.173373699188232e-05,-2.3488706350326543e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516171842504343,,16058,,1749160858,301982424,"""base_link""",,-9.974974393844605e-06,2.034366130828857e-05,-2.480433583259583e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516171888377531,,16059,,1749160858,321715424,"""base_link""",,-1.212434247136116e-05,1.9775462150573727e-05,-2.566485702991486e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516172119961260,,16060,,1749160858,441683960,"""base_link""",,-1.3219013810157777e-05,2.0245535671710965e-05,-2.54573404788971e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516172165933615,,16061,,1749160858,461663728,"""base_link""",,-1.2486224621534348e-05,1.5274350345134732e-05,-2.7591511607170108e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516172399546173,,16062,,1749160858,581620264,"""base_link""",,-1.5222166478633882e-05,1.6161310672760006e-05,-2.5583681464195256e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516172439413698,,16063,,1749160858,601598264,"""base_link""",,-1.657603085041046e-05,1.529438346624374e-05,-2.6593461632728582e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516172679019010,,16064,,1749160858,720837544,"""base_link""",,-1.5667250752449035e-05,1.8223351240158078e-05,-2.3898656666278842e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516172722923071,,16065,,1749160858,742071544,"""base_link""",,-1.487502157688141e-05,2.0323073863983152e-05,-2.2890479862689975e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516172960778277,,16066,,1749160858,864407800,"""base_link""",,-1.623462736606598e-05,1.8162998557090757e-05,-2.267023772001267e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516173000440568,,16067,,1749160858,880352800,"""base_link""",,-1.870301514863968e-05,1.2008744478225706e-05,-2.7029073238372803e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516173241918495,,16068,,1749160859,2696592,"""base_link""",,-1.771692931652069e-05,1.5632352232933042e-05,-2.3949639499187475e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516173282119090,,16069,,1749160859,23939592,"""base_link""",,-1.981637179851532e-05,1.4841121435165403e-05,-2.5191208720207218e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516173519723955,,16070,,1749160859,140917872,"""base_link""",,-1.9881086051464082e-05,1.4909496903419493e-05,-2.3125259578228002e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516173565881280,,16071,,1749160859,162171408,"""base_link""",,-1.650379002094269e-05,1.771323978900909e-05,-1.892294436693192e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516173805090354,,16072,,1749160859,284434688,"""base_link""",,-2.0320613682270052e-05,1.380568295717239e-05,-2.110181897878647e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516173845280207,,16073,,1749160859,305764688,"""base_link""",,-2.1308545768260958e-05,1.396715939044952e-05,-2.1645924448966986e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516174082910980,,16074,,1749160859,422764968,"""base_link""",,-2.0316484570503237e-05,1.0707823932170867e-05,-2.043149173259735e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516174124825643,,16075,,1749160859,443984968,"""base_link""",,-2.168867737054825e-05,8.316465467214582e-06,-2.3308691382408143e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516174366413622,,16076,,1749160859,566266736,"""base_link""",,-2.1537072956562043e-05,8.881349861621855e-06,-2.0027109980583193e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516174406081245,,16077,,1749160859,582260736,"""base_link""",,-2.22705140709877e-05,1.126726269721985e-05,1.0548555850982665e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516174643591213,,16078,,1749160859,704540992,"""base_link""",,-2.1113409101963043e-05,6.313486397266385e-06,-1.968161761760712e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516174677717316,,16079,,1749160859,720475992,"""base_link""",,-2.006608545780182e-05,6.054171919822692e-06,-1.7007347941398622e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516174921389838,,16080,,1749160859,842767784,"""base_link""",,-2.096727192401886e-05,6.351578980684278e-06,-1.796974539756775e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516174970079797,,16081,,1749160859,864017064,"""base_link""",,-2.0174562931060792e-05,4.168825596570966e-06,-2.010226845741272e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516175206884253,,16082,,1749160859,986392808,"""base_link""",,-2.0845611393451692e-05,4.143708571791647e-06,-1.8101742863655093e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516175241116643,,16083,,1749160860,2325808,"""base_link""",,-2.2064132988452913e-05,1.8833614885807013e-06,-2.0350533723831176e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516175482345757,,16084,,1749160860,124603576,"""base_link""",,-2.0900908112525942e-05,1.3484857976436592e-06,-1.854081600904465e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516175518630289,,16085,,1749160860,140547576,"""base_link""",,-1.5240432322025299e-05,3.505797684192655e-06,-1.9979053735733033e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516175763050919,,16086,,1749160860,262846344,"""base_link""",,-1.889198273420334e-05,-2.6098378002643844e-07,-2.1319165825843813e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516175802187246,,16087,,1749160860,284096344,"""base_link""",,-1.9075536727905274e-05,3.721006214618433e-08,-2.0429405570030214e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516176043502247,,16088,,1749160860,406395856,"""base_link""",,-1.7839112877845766e-05,-6.333041936159161e-07,-2.1582904458045962e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516176077606166,,16089,,1749160860,422391856,"""base_link""",,-1.850627064704895e-05,-2.731158584356311e-06,-2.317047417163849e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516176321285705,,16090,,1749160860,544684880,"""base_link""",,-1.8201738595962525e-05,-3.336614370346072e-06,-2.105102241039276e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516176370303764,,16091,,1749160860,565970160,"""base_link""",,-1.8238030374050142e-05,-4.523327201604846e-06,-2.405710220336914e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516176604623220,,16092,,1749160860,682907184,"""base_link""",,-1.7411738634109497e-05,-5.741374939680103e-06,-2.1250563859939576e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516176641232581,,16093,,1749160860,704183184,"""base_link""",,-1.4220231771469117e-05,-5.755395442247394e-06,-2.048689126968384e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516176886181513,,16094,,1749160860,826448696,"""base_link""",,-1.0952441394329071e-05,-6.075745820999148e-06,-1.9205406308174134e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516176922040613,,16095,,1749160860,842441696,"""base_link""",,-1.0169760882854463e-05,-4.843075573444369e-06,-2.1771794557571412e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516177168363917,,16096,,1749160860,964747488,"""base_link""",,-1.3249385356903076e-05,-7.219226658344272e-06,-2.275182604789734e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516177201893875,,16097,,1749160860,980649488,"""base_link""",,-1.524217277765274e-05,-1.0730432718992237e-05,-2.363313734531403e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516177441338111,,16098,,1749160861,102980024,"""base_link""",,-1.5210893750190735e-05,-8.573078364133839e-06,-2.2549882531166077e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516177479287698,,16099,,1749160861,118940024,"""base_link""",,-1.5588533878326415e-05,-8.065081387758258e-06,-1.9266673922538758e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516177722947980,,16100,,1749160861,241196304,"""base_link""",,-1.1804305016994476e-05,-7.696521282196049e-06,-2.339906841516495e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516177761825869,,16101,,1749160861,262478072,"""base_link""",,-1.3086685538291932e-05,-7.724893093109135e-06,-2.4397818744182586e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516178000169275,,16102,,1749160861,379481352,"""base_link""",,-1.1502400040626526e-05,-8.03502351045609e-06,-2.2623862326145172e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516178040377554,,16103,,1749160861,400715352,"""base_link""",,-1.0387425124645233e-05,-9.515683352947238e-06,-2.0643539726734163e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749516178292716288,,16104,,1749160861,528370888,"""base_link""",,-1.0410173237323761e-05,-1.0283790528774265e-05,-2.24736750125885e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
