rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1749502345206562660,,29059,,1749161044,229658112,"""map""",,,-2.773073434829712,-1.1829837560653687,1.6841235160827637,,-0.016208450410327032,-0.03425813858141304,0.1368854196775003,0.989861684916979
1749502345273966099,,29060,,1749161044,261660160,"""map""",,,-2.808990955352783,-1.1977097988128662,1.676720142364502,,-0.01709249241164418,-0.04080153559440554,0.1285089442702026,0.9907212698923586
1749502345338023977,,29061,,1749161044,293660160,"""map""",,,-2.8458566665649414,-1.2116330862045288,1.6677275896072388,,-0.017221118007854346,-0.04239107369294654,0.1260464724991051,0.9909685875994205
1749502345405925163,,29062,,1749161044,335660160,"""map""",,,-2.8959412574768066,-1.2279058694839478,1.6549351215362549,,-0.016359176760225105,-0.042573307446284535,0.12439275660408322,0.9911843373169478
1749502345473820433,,29063,,1749161044,368661440,"""map""",,,-2.932999849319458,-1.237876534461975,1.646948218345642,,-0.015271909240833508,-0.042116509365411336,0.1257858363879138,0.9910454634511044
1749502345542072981,,29064,,1749161044,399661440,"""map""",,,-2.968669891357422,-1.245592713356018,1.6415441036224365,,-0.01348775280093739,-0.042131825793578,0.13054699727679542,0.9904547332223756
1749502345605417973,,29065,,1749161044,431661440,"""map""",,,-3.0028061866760254,-1.251976728439331,1.6390208005905151,,-0.01280804794082417,-0.03985602504871329,0.13859342071340425,0.9894642822823697
1749502345673058457,,29066,,1749161044,463662976,"""map""",,,-3.0349690914154053,-1.2581833600997925,1.639717936515808,,-0.012866270519319434,-0.03302112660198477,0.14203433157268214,0.9892272062594959
1749502345737381055,,29067,,1749161044,495662976,"""map""",,,-3.0651817321777344,-1.2657444477081299,1.6438010931015015,,-0.012876297517997978,-0.02831635424514365,0.14008145734692984,0.9896512457023641
1749502345805170302,,29068,,1749161044,527662976,"""map""",,,-3.0940611362457275,-1.2745462656021118,1.650454044342041,,-0.00879728666498768,-0.01830406152400653,0.13111399882981245,0.9911592177952353
1749502345873036594,,29069,,1749161044,569663488,"""map""",,,-3.131993293762207,-1.2859423160552979,1.6612902879714966,,-7.072636306839838e-05,-0.011736434024387319,0.12911303504990929,0.9915604557930591
1749502345940557932,,29070,,1749161044,601663488,"""map""",,,-3.1607494354248047,-1.2936177253723145,1.6695228815078735,,0.0054884348883483015,-0.010042136147241571,0.13294595374718704,0.991057306715536
1749502346004612421,,29071,,1749161044,633663488,"""map""",,,-3.190326690673828,-1.3010636568069458,1.6769218444824219,,0.013173538496393166,-0.01185270433781097,0.14522935771774748,0.9892393024050186
1749502346072631448,,29072,,1749161044,665663744,"""map""",,,-3.221026659011841,-1.308384656906128,1.6825969219207764,,0.017080423842672686,-0.019779871702515016,0.15743892040971685,0.9871829155193235
1749502346141010136,,29073,,1749161044,697663744,"""map""",,,-3.2528960704803467,-1.3155769109725952,1.685944676399231,,0.017666824552851706,-0.023766759669802306,0.159567083378426,0.9867429024208698
1749502346206669729,,29074,,1749161044,728663744,"""map""",,,-3.285848379135132,-1.3222709894180298,1.6867125034332275,,0.01978017718484851,-0.03422681557043535,0.1606766834591723,0.9862151817306649
1749502346272333883,,29075,,1749161044,760664512,"""map""",,,-3.31961727142334,-1.3281629085540771,1.6854482889175415,,0.022280155699853654,-0.04183718112690538,0.1610297054622996,0.9858107405723543
1749502346342084574,,29076,,1749161044,803664512,"""map""",,,-3.364995002746582,-1.3352689743041992,1.6815372705459595,,0.022650313689623124,-0.0441399499279165,0.16181502769060302,0.9855733273746925
1749502346408274689,,29077,,1749161044,835664512,"""map""",,,-3.3993706703186035,-1.3406060934066772,1.6769481897354126,,0.021899436631809665,-0.04592628549158954,0.16411603488505533,0.985128045920175
1749502346474011219,,29078,,1749161044,867666560,"""map""",,,-3.4334399700164795,-1.3463574647903442,1.6708792448043823,,0.019461681353185777,-0.045809314816081644,0.16500103441008712,0.9850367558463002
1749502346541798058,,29079,,1749161044,899666560,"""map""",,,-3.466254711151123,-1.3523650169372559,1.6638108491897583,,0.01782313832362775,-0.04570022823542332,0.16461732950124391,0.9851370653457562
1749502346605795971,,29080,,1749161044,931666560,"""map""",,,-3.4966251850128174,-1.3582026958465576,1.6567392349243164,,0.01172436026937782,-0.047021171053849474,0.1634984149669767,0.985352688622738
1749502346673437669,,29081,,1749161044,963668608,"""map""",,,-3.5247323513031006,-1.3637428283691406,1.6499756574630737,,0.006594816168175711,-0.04870655372008228,0.16083802159527194,0.9857562868440782
1749502346740056057,,29082,,1749161044,995668608,"""map""",,,-3.5509321689605713,-1.3678364753723145,1.6441129446029663,,0.004366086867652589,-0.048396330524528824,0.15983678106204724,0.9859467063056506
1749502346805349848,,29083,,1749161045,26668608,"""map""",,,-3.5756382942199707,-1.369762897491455,1.6396626234054565,,0.0019740754076421952,-0.04166201619031607,0.164087712202856,0.9855635914526866
1749502346875247694,,29084,,1749161045,69669888,"""map""",,,-3.60656476020813,-1.370223045349121,1.6366040706634521,,0.00016919193790183038,-0.03080177431671082,0.1718934349876191,0.9846338741213847
1749502346941286933,,29085,,1749161045,101669888,"""map""",,,-3.627455711364746,-1.3699877262115479,1.6367392539978027,,-0.0014528440150191019,-0.023733649039757696,0.1753164755831284,0.9842250075439805
1749502347005820138,,29086,,1749161045,133669888,"""map""",,,-3.6464428901672363,-1.3696699142456055,1.6384479999542236,,-0.004053779049459263,-0.011786011559854037,0.17724326090965248,0.984088198873714
1749502347070957970,,29087,,1749161045,165671168,"""map""",,,-3.664928436279297,-1.3695131540298462,1.6404924392700195,,-0.0041505721681967525,-0.0027771112484396127,0.17656983856414532,0.9842754994684966
1749502347140530914,,29088,,1749161045,196671168,"""map""",,,-3.683490037918091,-1.3694244623184204,1.6415355205535889,,-0.0027856601439699906,-0.0014446674440899221,0.17707265046688025,0.9841928073517181
1749502347207062475,,29089,,1749161045,228671168,"""map""",,,-3.701275110244751,-1.3695403337478638,1.6409379243850708,,-0.0001765959538052254,-0.003438724162239214,0.1789409359676712,0.9838537781022966
1749502347276243639,,29090,,1749161045,271672192,"""map""",,,-3.722458839416504,-1.3703571557998657,1.6389065980911255,,0.00026692125997548416,-0.007706219343785022,0.17856540754743916,0.983897863705839
1749502347340587552,,29091,,1749161045,303672192,"""map""",,,-3.736997365951538,-1.3708977699279785,1.637663722038269,,-0.0005323479531903169,-0.009449801210183052,0.1769952267061658,0.9841662126903078
1749502347410405941,,29092,,1749161045,335672192,"""map""",,,-3.7512550354003906,-1.3707619905471802,1.637506127357483,,-0.003475643813717996,-0.00964969087105232,0.1731907992784814,0.9848348302950847
1749502347473976640,,29093,,1749161045,367675520,"""map""",,,-3.765045642852783,-1.3698936700820923,1.6383099555969238,,-0.005767252199213778,-0.006134535765682994,0.17141228656501867,0.9851634914197726
1749502347539909460,,29094,,1749161045,399675520,"""map""",,,-3.77781081199646,-1.3685747385025024,1.639567494392395,,-0.0068400780639199885,-0.004491058694296486,0.1716367606801878,0.985126317899386
1749502347604035556,,29095,,1749161045,430675520,"""map""",,,-3.7896039485931396,-1.366938591003418,1.640196442604065,,-0.007494020909835116,-0.005847807647756486,0.17207462428936737,0.9850381045454526
1749502347676011781,,29096,,1749161045,462677056,"""map""",,,-3.800306797027588,-1.3645273447036743,1.6393450498580933,,-0.005489763007984919,-0.0139265143355537,0.17400452848268128,0.9846311345762315
1749502347738359057,,29097,,1749161045,494677056,"""map""",,,-3.809873104095459,-1.3610320091247559,1.6370697021484375,,-0.0044030489952522804,-0.017080337655660343,0.1757023721280941,0.9842852775373511
