x,vx,y,vy,z,vz,phi,dphi,theta,dtheta,psi,dpsi,wx,wy,wz
5.987967283121820028e-02,3.912678709956222689e-01,9.324807879879126737e-02,4.821284633222234217e-01,2.236821835046758800e+00,-4.729072659615328467e-02,2.574088196438052006e-02,1.458737818958095178e-01,-5.284478687815708040e-04,-1.405019769986589895e-01,-4.883186009647957210e-02,-2.866774030081128966e-01,7.794059619240949477e-01,8.147021209960222388e-01,9.566108516626841141e-01
6.361880438895337053e-02,3.945999024371709130e-01,9.786324574470356419e-02,4.815944758015252014e-01,2.236817043078890510e+00,-9.677569171548976168e-02,3.170032859864775621e-02,1.512313666087514719e-01,-4.561329666574471219e-03,-1.443995497113262638e-01,-5.174918026576381253e-02,-2.971313545518265431e-01,7.723427644794693681e-01,8.088511560211056883e-01,9.513954971632671009e-01
6.747792805878753686e-02,4.024777337381249542e-01,1.026137054126291942e-01,4.888433139444825493e-01,2.236247763580890613e+00,-1.430947442000335412e-01,3.141801089305269051e-02,1.586923737503946608e-01,-5.238439764646964786e-03,-1.499112765782476542e-01,-5.472840256880184134e-02,-3.075470201868598097e-01,7.630129504110138017e-01,7.989481692094635434e-01,9.470953583799668341e-01
7.144982386842817224e-02,4.110067088298360316e-01,1.073622864691642781e-01,4.907363332621803020e-01,2.234954318652329075e+00,-1.922502027594248097e-01,3.522820717335262142e-02,1.646954311151263284e-01,-5.010230717067975376e-03,-1.578344686236076988e-01,-5.761108579241936561e-02,-3.212153938376128837e-01,7.550077587612396002e-01,7.933939376679123301e-01,9.461772260993628336e-01
7.543815067992780399e-02,4.126563665476397635e-01,1.123518369400239997e-01,5.014171882032745220e-01,2.233882228681893345e+00,-2.269374457583515359e-01,3.201523624070368862e-02,1.718777012673092519e-01,-1.077861827389830010e-02,-1.619656779568565685e-01,-6.132912650958462220e-02,-3.312410494474911093e-01,7.528052176326494038e-01,7.865459114130666229e-01,9.387111249694853887e-01
7.952052202501730394e-02,4.200359299743633423e-01,1.173304689013192070e-01,5.066540576290882170e-01,2.231557727965159721e+00,-2.744848638689594833e-01,3.307495022876790619e-02,1.801010315237097648e-01,-1.125551121209261013e-02,-1.668461881507837530e-01,-6.456788107729292958e-02,-3.446982356804752512e-01,7.471207847552608916e-01,7.825916089954497723e-01,9.406177894068070700e-01
8.353569176369285421e-02,4.180952199758919963e-01,1.222975923792443409e-01,5.069557329431180204e-01,2.229037795623519003e+00,-3.171051583436234611e-01,3.876857240195148019e-02,1.885741275174023235e-01,-1.948005813517161497e-02,-1.717730203260297850e-01,-6.837221914530225431e-02,-3.586218706662639977e-01,7.464619728732393433e-01,7.813038280744402098e-01,9.400931304783572973e-01
8.773701741330092174e-02,4.295933035848797932e-01,1.274358743457459087e-01,5.192766084873750021e-01,2.225379442059648660e+00,-3.611876833396341913e-01,3.277468521422995801e-02,1.969830190015909865e-01,-1.616484933600381702e-02,-1.782722689673398309e-01,-7.201907270845810116e-02,-3.716125790415178987e-01,7.383887652484817377e-01,7.731740049933963910e-01,9.420674961488743060e-01
9.207596616796442923e-02,4.382387857478115545e-01,1.324610183736171232e-01,5.135550177540803007e-01,2.222574968559405395e+00,-3.881148171821071635e-01,4.299806803011841511e-02,2.069743931788399216e-01,-1.432594966377929643e-02,-1.856347359201921954e-01,-7.470842003351145511e-02,-3.838997620941645983e-01,7.337963508072252727e-01,7.747740945098002818e-01,9.362346645204404627e-01
9.632500956790188140e-02,4.368508074079155978e-01,1.374135155525291752e-01,5.085683281761553820e-01,2.218644772648848296e+00,-4.296188322686636529e-01,5.348735831797840623e-02,2.166611414335436192e-01,-2.175927447080654165e-02,-1.907861885219038489e-01,-7.842868228236934969e-02,-4.003134070929707522e-01,7.350328271072611441e-01,7.755377741453791662e-01,9.396865756565659922e-01
1.005584870390053287e-01,4.358816589824969778e-01,1.423031265497135267e-01,5.033526129228821366e-01,2.214308610754761819e+00,-4.662530038875143945e-01,6.386001433643173630e-02,2.246992490493397443e-01,-2.852981878655297746e-02,-1.993856212340854028e-01,-8.236515352764428588e-02,-4.160587059936552423e-01,7.347402029203917717e-01,7.749952997031482882e-01,9.413150777821828186e-01
1.049498677826856408e-01,4.443997179582122592e-01,1.473645488658875680e-01,5.110611507710824952e-01,2.209293756755688065e+00,-4.973958425020303942e-01,6.113639564198820875e-02,2.383503024200785692e-01,-2.704294309789645814e-02,-2.058755207750292415e-01,-8.646359352327580294e-02,-4.275314278855105177e-01,7.312938396669261820e-01,7.699868144353088084e-01,9.403217382873968466e-01
1.094340828408544852e-01,4.495613090274349077e-01,1.527030320866799573e-01,5.251519409433255126e-01,2.205293298505563993e+00,-5.018629678668929950e-01,5.158967910865756151e-02,2.477744650567300366e-01,-2.880122224839729711e-02,-2.136450927914793907e-01,-9.205196354907017875e-02,-4.427744650248373603e-01,7.310434230856338589e-01,7.649506612498490066e-01,9.279958533771034412e-01
1.136672326138394584e-01,4.372963072607978785e-01,1.578891038786281453e-01,5.215516125499637390e-01,2.200726513335561130e+00,-5.313323929050723926e-01,6.168511550427827062e-02,2.596404037563759259e-01,-4.608706467999486994e-02,-2.218797358276570486e-01,-9.835327465725078600e-02,-4.583606687621348263e-01,7.374775648227311908e-01,7.682208111732624634e-01,9.330635844530448253e-01
1.179813033663817123e-01,4.375499126262700211e-01,1.631068710898504193e-01,5.225203913938970546e-01,2.195933374190265130e+00,-5.471806440665369919e-01,6.558692016763531529e-02,2.727454288149904205e-01,-5.114911265163912812e-02,-2.303655611152755356e-01,-1.032297809720439385e-01,-4.742367700990893775e-01,7.371741441143303541e-01,7.688346107521119022e-01,9.312181958718983577e-01
1.223950116369962871e-01,4.432515955433215527e-01,1.683771629019893690e-01,5.266469912218318949e-01,2.190587964159697698e+00,-5.670936251505410697e-01,6.616430706392370520e-02,2.833139130826473062e-01,-5.128464361986121572e-02,-2.376292622219541295e-01,-1.079425131440638480e-01,-4.900681324593855748e-01,7.354906755021080045e-01,7.683681807260184238e-01,9.331968783200662587e-01
1.268707889445334358e-01,4.477482566724814705e-01,1.737711134300357341e-01,5.345695250690019051e-01,2.184974653508907405e+00,-5.825364543680210394e-01,6.321652303106578552e-02,2.952447027911500044e-01,-5.275046162072014738e-02,-2.466780062181915534e-01,-1.138102374365046882e-01,-5.054354528072236841e-01,7.364753162883350690e-01,7.681730379429149158e-01,9.327191651791092442e-01
1.312177364495630549e-01,4.408548984213239708e-01,1.790364973649388458e-01,5.289301728071961195e-01,2.179413351278015387e+00,-6.019622646167939184e-01,7.426321713048096573e-02,3.096493152394526605e-01,-6.355483814726965719e-02,-2.520470113104757437e-01,-1.188276914786478705e-01,-5.201355492704884398e-01,7.415531443583434079e-01,7.729133418620877105e-01,9.363595198041149148e-01
1.358722231058805407e-01,4.571822190616347537e-01,1.846061855112634542e-01,5.463640553186220883e-01,2.173624818760922395e+00,-6.020181907721606773e-01,6.069290639881001065e-02,3.200700286653512250e-01,-5.424244908040570107e-02,-2.588947697478887755e-01,-1.253859521002940181e-01,-5.344235367962303362e-01,7.370269533739080003e-01,7.679491524752077858e-01,9.316914944495050532e-01
1.403914364405252357e-01,4.520346152592293887e-01,1.899376561397352337e-01,5.352728959583511470e-01,2.167780935764248351e+00,-6.200080917093969690e-01,7.659438683974718887e-02,3.327396752617019504e-01,-6.274814312951403072e-02,-2.672910108580052180e-01,-1.286536140747676638e-01,-5.469128973044479203e-01,7.445154503057195283e-01,7.776072165175833550e-01,9.363485661246061520e-01
1.449925602445331918e-01,4.567539023192639935e-01,1.953535702063447232e-01,5.388536914704424863e-01,2.161655701057267898e+00,-6.272939827310015648e-01,7.729482311593063870e-02,3.457021681836632276e-01,-6.310393455366998527e-02,-2.761666229859619515e-01,-1.342751598175616901e-01,-5.595204394124433378e-01,7.459426992554526459e-01,7.781644697557681400e-01,9.374172325034281217e-01
1.496351329469617908e-01,4.587388549351503753e-01,2.007544747016236086e-01,5.367632694429763651e-01,2.155704922627388331e+00,-6.240804856867883110e-01,8.278419400261465000e-02,3.598124931504861346e-01,-6.483819840971852266e-02,-2.828382173150819634e-01,-1.390294739055886741e-01,-5.703073066908043165e-01,7.509502581112852404e-01,7.835890023957939876e-01,9.325869060575554537e-01
1.541821245574788168e-01,4.539719873617523715e-01,2.060468885400354166e-01,5.298608544287184419e-01,2.149630852012824000e+00,-6.318444761678163601e-01,9.360483939098801498e-02,3.737236075130844770e-01,-7.228529648474335545e-02,-2.918573443254060540e-01,-1.439167008560455208e-01,-5.806939107591053695e-01,7.570803051541726836e-01,7.887820551555732029e-01,9.370606642391944296e-01
1.587168156165653932e-01,4.513319082104776392e-01,2.114749660577870671e-01,5.353501778913853926e-01,2.143202159775980054e+00,-6.382413229941100719e-01,9.356558023678608615e-02,3.862051131136621795e-01,-7.885138808518145359e-02,-3.012141649718538261e-01,-1.519651415657716220e-01,-5.889990287244319944e-01,7.626060026919484480e-01,7.899977838838185829e-01,9.396787220039105604e-01
1.633723472530722587e-01,4.569169680830327818e-01,2.166863542326543934e-01,5.234921363029994001e-01,2.137217400514021204e+00,-6.268164934832832769e-01,1.054995702103175420e-01,3.993238651212752677e-01,-7.581730028528362031e-02,-3.086097862537580117e-01,-1.529550476996102970e-01,-5.933151570656294282e-01,7.641244636617157138e-01,7.971660339572042009e-01,9.362033434757788264e-01
1.678577762461347378e-01,4.488056707209147067e-01,2.220773146489531114e-01,5.307585437677391216e-01,2.131139736104318061e+00,-6.184924576833821241e-01,1.036865073982903840e-01,4.133262203930068157e-01,-8.584458548938636580e-02,-3.177701617250472954e-01,-1.637634955509826296e-01,-5.966871376324355269e-01,7.707578708506777065e-01,7.954625892349757033e-01,9.381344056810269061e-01
1.723675756982113172e-01,4.467749008773436725e-01,2.275700809706965033e-01,5.384969368043920346e-01,2.124916930064287612e+00,-6.119862698326308248e-01,1.013199427606025493e-01,4.259278957066182647e-01,-9.083386337727825111e-02,-3.239228729666308038e-01,-1.730446522102497831e-01,-5.946620747361571757e-01,7.749607340676487599e-01,7.962857362722781662e-01,9.413715080077325048e-01
1.769418720442746673e-01,4.485495656163077660e-01,2.329291461356395032e-01,5.319551739167056592e-01,2.118921839714361433e+00,-5.977459777829500220e-01,1.089895717345688853e-01,4.358819088137494413e-01,-9.089667741213983132e-02,-3.323728877950389293e-01,-1.759422150467123414e-01,-5.915849055387150113e-01,7.783373109239033472e-01,8.033761017029309448e-01,9.415731001189088234e-01
1.816209666580825832e-01,4.559521814235566461e-01,2.384048749709941906e-01,5.383067237330934063e-01,2.112813052522249713e+00,-5.834479918870995041e-01,1.061831940870727742e-01,4.477155462766531646e-01,-8.823942418701852253e-02,-3.405304683883276229e-01,-1.825058201826352811e-01,-5.834669179338519696e-01,7.797651361570773210e-01,8.041906385910305710e-01,9.445832293735254570e-01
1.860809515420288329e-01,4.423306776041957544e-01,2.439028980680602032e-01,5.386556201479230088e-01,2.107084183456991333e+00,-5.635393371735206713e-01,1.105168701542897369e-01,4.596826470779592499e-01,-9.987656227368539585e-02,-3.468439925341393892e-01,-1.924767565549833359e-01,-5.704236317170553461e-01,7.909693261894925609e-01,8.099155368856327808e-01,9.440560091389760267e-01
1.906118540727420874e-01,4.408555004511379716e-01,2.493771269904957177e-01,5.363511810747272346e-01,2.101447185738717582e+00,-5.442797708258646505e-01,1.152007725624727558e-01,4.700579210481461434e-01,-1.022262329721906199e-01,-3.540510566553409233e-01,-1.974949486020617651e-01,-5.537655514460624318e-01,7.969298248083674929e-01,8.173743152315934291e-01,9.445960154057297942e-01
1.949660257867627811e-01,4.282658221984494973e-01,2.548963702459759451e-01,5.377707473855408704e-01,2.096009625953778599e+00,-5.297411171300865362e-01,1.191478433914944651e-01,4.780920479333355955e-01,-1.127025014249954382e-01,-3.632786198668231936e-01,-2.070189291622452077e-01,-5.346926565497134298e-01,8.054480314719434375e-01,8.216305292138288419e-01,9.497843582784056826e-01
1.993644904286607233e-01,4.293521056026999294e-01,2.601774565687313689e-01,5.275934834632212134e-01,2.090736960600735106e+00,-4.976924386551146440e-01,1.271904875196977480e-01,4.884949046879042966e-01,-1.111800667939915610e-01,-3.689042300958380038e-01,-2.072583504684882005e-01,-5.109549873384426899e-01,8.055586189159880117e-01,8.263590892525614073e-01,9.508438309086331142e-01
2.038297555680199102e-01,4.306872797853258938e-01,2.654222882544898798e-01,5.190741191598092774e-01,2.085763672105628519e+00,-4.594106583472243877e-01,1.333356552264445272e-01,4.942729568714491761e-01,-1.095327315444622335e-01,-3.752329975374921189e-01,-2.078647546411794000e-01,-4.823298112478381361e-01,8.099482676565027406e-01,8.331176952211566400e-01,9.479605437679859969e-01
2.080605321698345833e-01,4.138357998147315642e-01,2.708517386779793479e-01,5.247461129330694973e-01,2.081241133317807357e+00,-4.294281754697336084e-01,1.339779118152403525e-01,5.021852333910815647e-01,-1.210800773231010957e-01,-3.841279543325997192e-01,-2.215561983000684521e-01,-4.486793985525484030e-01,8.204380412498406550e-01,8.345914839893234793e-01,9.513452196538013661e-01
2.122768003259936087e-01,4.095263015220673708e-01,2.759596251351408847e-01,5.094722027748601612e-01,2.076917319609879797e+00,-3.796349623066986312e-01,1.435542478966322366e-01,5.094530521336355644e-01,-1.213174974608129814e-01,-3.929683031324140985e-01,-2.196238780561251547e-01,-4.118841208706037760e-01,8.252015743876283116e-01,8.441055302884714617e-01,9.463800358673172264e-01
2.164335041499435286e-01,4.038056907800262607e-01,2.811255765887160085e-01,5.083509735657024686e-01,2.072926754405937100e+00,-3.339144651968325439e-01,1.452153304394246947e-01,5.159411574128309752e-01,-1.238756328578756172e-01,-3.996953434417916950e-01,-2.255356937030023046e-01,-3.754685755990494478e-01,8.301900825143615492e-01,8.467659277401199391e-01,9.468655384740038983e-01
2.204518568117222743e-01,3.903933131675320078e-01,2.862198461515779724e-01,5.002990119797054991e-01,2.069526077553395460e+00,-2.944107231365752364e-01,1.522499605884425067e-01,5.215723842418716893e-01,-1.303856182485682857e-01,-4.084272694000260495e-01,-2.300225896912522494e-01,-3.327986006127165441e-01,8.374342767090443562e-01,8.520466126960893893e-01,9.510583301274504464e-01
2.244671649250007117e-01,3.859978914031136354e-01,2.911561802102141661e-01,4.886121106946160753e-01,2.066464004536098908e+00,-2.498660778800944338e-01,1.590005989743137615e-01,5.235066092216567046e-01,-1.313116349605460143e-01,-4.132359031638704883e-01,-2.284627880564185087e-01,-2.902671911905471691e-01,8.401880144503798276e-01,8.571143583307618830e-01,9.531890958061360886e-01
2.284912975320509132e-01,3.823678756328997008e-01,2.960601029777128468e-01,4.799141314784030610e-01,2.063929030296787648e+00,-2.050542795461577361e-01,1.638561718121305244e-01,5.268006572700116852e-01,-1.322646109515093482e-01,-4.238408540774540323e-01,-2.279292836408643441e-01,-2.443431812826014904e-01,8.443964258899149256e-01,8.619244791192508526e-01,9.546342521998926189e-01
2.324247229941413528e-01,3.728879294021247293e-01,3.008776121928118941e-01,4.684896418312043953e-01,2.061969921605718792e+00,-1.631896053864147766e-01,1.708422896599534058e-01,5.315304429244653850e-01,-1.361093757973461105e-01,-4.319403016437594611e-01,-2.279422088373412036e-01,-1.983907722925523365e-01,8.513903473272149691e-01,8.681404131067286256e-01,9.569075672902349616e-01
2.363719171938591379e-01,3.696989733314610671e-01,3.057615392745404170e-01,4.678625643100017273e-01,2.060494027020718377e+00,-1.257277871467864516e-01,1.723337113025715517e-01,5.348105685915042207e-01,-1.379674953755950784e-01,-4.399191808029998541e-01,-2.311175330796298721e-01,-1.520273949072226682e-01,8.537858074070283632e-01,8.680763662974662065e-01,9.616026698516064730e-01
2.401457131262138278e-01,3.564677724025803185e-01,3.106788108010225535e-01,4.679533465770214229e-01,2.059417907754649946e+00,-8.290326611225352915e-02,1.746732202923888533e-01,5.354256554211722641e-01,-1.436180027063425069e-01,-4.463249078931810221e-01,-2.389580744209782170e-01,-1.047785191300145274e-01,8.618967378702644400e-01,8.713188465500362190e-01,9.615857983396792763e-01
2.436719617008660521e-01,3.381971625484017641e-01,3.154791736763172816e-01,4.625050301196678149e-01,2.058608897147669481e+00,-3.267976064698499550e-02,1.793335820871064246e-01,5.380358830001162884e-01,-1.502753425053116321e-01,-4.539507377660116361e-01,-2.449816469688176068e-01,-5.752231210583853838e-02,8.720059936992673455e-01,8.788830237203885121e-01,9.577757407426251701e-01
2.469295934434632411e-01,3.158951864853461466e-01,3.199481605324359101e-01,4.413395610089689280e-01,2.058285259520002519e+00,8.753099587426500100e-03,1.906197861313435049e-01,5.412699790870184602e-01,-1.581311604994770914e-01,-4.619628519619318197e-01,-2.425221260211781749e-01,-1.101691607710663344e-02,8.799918150594401300e-01,8.883637839078792897e-01,9.588193452408761974e-01
2.501986364275834984e-01,3.097873740199283410e-01,3.242152674816143887e-01,4.236239258461862445e-01,2.058250099855770454e+00,5.703415208072095538e-02,1.974260598234660880e-01,5.402423692006032008e-01,-1.599078114004710005e-01,-4.684245250730469934e-01,-2.338666608940842551e-01,3.520658284699446083e-02,8.822071051730466795e-01,8.957645177883557519e-01,9.562266808558411713e-01
2.534518896213614481e-01,3.010868371067053073e-01,3.287040607600270614e-01,4.248011299165773136e-01,2.059044861619809819e+00,8.775021285472459076e-02,1.997258967214654846e-01,5.432048258099473337e-01,-1.639604583614760469e-01,-4.766402213410594890e-01,-2.387906820097108751e-01,8.021344833703697441e-02,8.851804877982392128e-01,8.944490453396947149e-01,9.616290969825187496e-01
