rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1749503451939875603,,39074,,1748035311,343956288,"""map""",,,-1.928008794784546,1.5392905473709106,2.0574254989624023,,0.006710684440177336,0.024554819796897682,-0.8482327322699866,0.5290116376380807
1749503452009768768,,39075,,1748035311,377956288,"""map""",,,-1.9081848859786987,1.5391596555709839,2.0584065914154053,,0.007938540016766608,0.023608989857119057,-0.8464405850510306,0.531900277267896
1749503452077720826,,39076,,1748035311,413957056,"""map""",,,-1.8816150426864624,1.5382719039916992,2.0591368675231934,,0.009848292089591664,0.021328403469314833,-0.8423393805895569,0.538435209349783
1749503452139631490,,39077,,1748035311,443957056,"""map""",,,-1.8615036010742188,1.5371067523956299,2.0588231086730957,,0.010155606494053355,0.019085308020350064,-0.8390322438274525,0.5436520198179158
1749503452211608840,,39078,,1748035311,473957056,"""map""",,,-1.8416420221328735,1.5356963872909546,2.0584824085235596,,0.012411901479863874,0.018511338737166295,-0.8344040457089106,0.5507025659077729
1749503452277035083,,39079,,1748035311,513957824,"""map""",,,-1.8152308464050293,1.5330392122268677,2.058389663696289,,0.013544283249319333,0.017471840719294748,-0.8324436798808356,0.553668639835015
1749503452341031388,,39080,,1748035311,543957824,"""map""",,,-1.7953424453735352,1.530711054801941,2.0587406158447266,,0.017447641534111675,0.017220641201051,-0.8271847857844645,0.5613949790306079
1749503452410810612,,39081,,1748035311,573957824,"""map""",,,-1.7754249572753906,1.527951955795288,2.0586490631103516,,0.017058701175850517,0.015393163089821261,-0.825677625018427,0.5636741014739708
1749503452474941552,,39082,,1748035311,613957312,"""map""",,,-1.7488049268722534,1.5240000486373901,2.058318614959717,,0.01614054195920831,0.014307827081471576,-0.8217778930295474,0.5693996349403423
1749503452544792291,,39083,,1748035311,646957312,"""map""",,,-1.7287639379501343,1.5205297470092773,2.057379961013794,,0.013906221574653382,0.014571163266304706,-0.8179561327104129,0.5749280054493799
1749503452614732613,,39084,,1748035311,683957312,"""map""",,,-1.7031786441802979,1.5160783529281616,2.056553840637207,,0.015453180860645283,0.01350387989739332,-0.8130790679881262,0.581791535435682
1749503452674666631,,39085,,1748035311,713959616,"""map""",,,-1.684069037437439,1.5124647617340088,2.0559983253479004,,0.014668327433713414,0.012818055924029988,-0.8108692665738516,0.5849031951143928
1749503452741242872,,39086,,1748035311,746959616,"""map""",,,-1.6650549173355103,1.508561134338379,2.0557963848114014,,0.013229261651526526,0.011110074479825118,-0.8067741734054119,0.5906072863715844
1749503452808206543,,39087,,1748035311,773959616,"""map""",,,-1.6462922096252441,1.5045280456542969,2.0551114082336426,,0.010982978291496194,0.011388455628431009,-0.8047119702546223,0.5934545167227379
1749503452874253447,,39088,,1748035311,813959360,"""map""",,,-1.6212327480316162,1.4989609718322754,2.0539119243621826,,0.008958548409924398,0.01246811648542654,-0.8007684266167157,0.5987773581250121
1749503452944282981,,39089,,1748035311,846959360,"""map""",,,-1.6023833751678467,1.4948021173477173,2.0525457859039307,,0.010004501810335445,0.01424033581829871,-0.7952100580882504,0.6060842308108002
1749503453015882390,,39090,,1748035311,883959360,"""map""",,,-1.5776392221450806,1.4891283512115479,2.050865650177002,,0.009477741278023179,0.014519038439522076,-0.7914577136286134,0.6109779119281122
1749503453078019861,,39091,,1748035311,913962688,"""map""",,,-1.558841586112976,1.4844069480895996,2.0497195720672607,,0.009258877632789915,0.015641169634438533,-0.789161558590096,0.6139167221127239
1749503453139777439,,39092,,1748035311,946962688,"""map""",,,-1.540087103843689,1.479417324066162,2.048577308654785,,0.006709273837841227,0.017859011877155686,-0.785381339258525,0.6187181595837137
1749503453207673333,,39093,,1748035311,973962688,"""map""",,,-1.5216008424758911,1.4741365909576416,2.0475590229034424,,0.006891191489815389,0.019050112109120918,-0.7826480581806768,0.6221347253696206
1749503453273689874,,39094,,1748035312,13962944,"""map""",,,-1.4962944984436035,1.4666999578475952,2.0472571849823,,0.009777583507225044,0.017547509129623225,-0.7778759338428264,0.6280967395346306
