rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1749509330567927393,,49208,,1748046279,14085400,"""base_link""",,-1.8001167476177216e-05,5.821060389280316e-06,-3.182820677757263e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509330600079317,,49209,,1748046279,34113400,"""base_link""",,-1.9832272827625274e-05,4.988812655210491e-06,-3.202575445175171e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509330847618326,,49210,,1748046279,159059192,"""base_link""",,-1.8488939106464386e-05,4.768227785825726e-06,-3.436359763145447e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509330881676568,,49211,,1748046279,174100192,"""base_link""",,-2.1139179170131685e-05,2.8057336807250935e-06,-3.356271386146546e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509331129247550,,49212,,1748046279,299009216,"""base_link""",,-1.669900417327881e-05,3.3733341842889745e-06,-3.347473740577698e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509331165191146,,49213,,1748046279,319002752,"""base_link""",,-1.7730407416820527e-05,2.518036216497417e-06,-3.502237796783447e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509331402551550,,49214,,1748046279,433986800,"""base_link""",,-1.6846895217895508e-05,3.3690959215164144e-06,-3.3440941572189335e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509331444926253,,49215,,1748046279,458977800,"""base_link""",,-1.0101865977048874e-05,5.2205216139554944e-06,-2.955469787120819e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509331682310648,,49216,,1748046279,573901056,"""base_link""",,-1.2765367329120636e-05,2.8291508555412253e-06,-3.2933613657951356e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509331724109410,,49217,,1748046279,598970056,"""base_link""",,-1.143842563033104e-05,5.232135951519009e-06,-3.0310288071632388e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509331961463726,,49218,,1748046279,714145664,"""base_link""",,-1.1770049482584001e-05,3.847681730985638e-06,-3.077796995639801e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509332003360500,,49219,,1748046279,733901664,"""base_link""",,-1.3453592360019685e-05,-6.503045558929485e-07,-3.379494845867157e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509332245628486,,49220,,1748046279,858879712,"""base_link""",,-1.497812271118164e-05,2.732508257031437e-06,-3.134258985519409e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509332285146097,,49221,,1748046279,878886712,"""base_link""",,-1.4504294097423554e-05,1.3834193348884546e-06,-3.1513652205467226e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509332526706044,,49222,,1748046279,998805760,"""base_link""",,-1.6389042139053347e-05,6.9213435053825e-07,-3.129854202270508e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509332564827929,,49223,,1748046280,18822064,"""base_link""",,-2.115207314491272e-05,2.5569561868905987e-06,-2.6411506533622743e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1749509332804344470,,49224,,1748046280,138735856,"""base_link""",,-1.609822511672974e-05,1.9509620964527092e-06,-2.9922598600387573e-05,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
