rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,speed,speed2d,direction,northsouth,westeast,updown,temperature,pitch,roll,pressure,humidity,heading,levelx,levely,levelz
1749509389697193551,,51923,,1748046308,587482929,'',4.230000019073486,0.0,192.0,-4.18222188949585,0.596409261226654,0.02305273525416851,18.010000228881836,0.1,-0.3,858.7999877929688,58.290000915527344,37.0,nan,0.0,0.0
1749509389877133062,,51924,,1748046308,677454948,'',4.179999828338623,0.0,192.0,-4.184708118438721,0.577980637550354,0.0289058405905962,18.010000228881836,0.1,-0.3,858.7999877929688,58.290000915527344,37.0,nan,0.0,0.0
1749509389900868489,,51925,,1748046308,689478397,'',4.179999828338623,0.0,192.0,-4.0169219970703125,1.1422213315963745,0.028321420773863792,18.149999618530273,0.6,1.9,858.7999877929688,57.779998779296875,42.0,nan,0.0,0.0
1749509390082264016,,51926,,1748046308,779309034,'',4.420000076293945,0.0,183.0,-4.416468620300293,-0.09469574689865112,-0.02383364737033844,18.149999618530273,0.6,1.9,858.7999877929688,57.779998779296875,42.0,nan,0.0,0.0
1749509390107171248,,51927,,1748046308,792599201,'',4.420000076293945,0.0,183.0,-4.416166305541992,-0.09557122737169266,-0.03043382801115513,17.84000015258789,1.3,1.1,858.7899780273438,58.97999954223633,42.0,nan,0.0,0.0
1749509390296872996,,51928,,1748046308,887454509,'',4.039999961853027,0.0,179.0,-4.020554542541504,-0.39154794812202454,-0.07433277368545532,17.899999618530273,1.5,0.1,858.7899780273438,58.720001220703125,40.0,nan,0.0,0.0
1749509390477052325,,51929,,1748046308,977452993,'',3.799999952316284,0.0,179.0,-4.026218891143799,-0.33066990971565247,-0.06435885280370712,17.899999618530273,1.5,0.1,858.7899780273438,58.720001220703125,40.0,nan,0.0,0.0
1749509390507467041,,51930,,1748046308,992716073,'',3.799999952316284,0.0,179.0,-3.798130750656128,0.16536647081375122,-0.06395204365253448,17.899999618530273,1.9,-0.8,858.77001953125,58.689998626708984,38.0,nan,0.0,0.0
1749509390684140697,,51931,,1748046309,80415010,'',4.159999847412109,0.0,188.0,-4.147029876708984,0.2812204957008362,0.00010375478450441733,17.899999618530273,1.9,-0.8,858.77001953125,58.689998626708984,38.0,nan,0.0,0.0
1749509390694281602,,51932,,1748046309,86234092,'',4.159999847412109,0.0,188.0,-4.146792888641357,0.28566989302635193,0.011924936436116695,17.899999618530273,0.5,0.2,858.780029296875,58.06999969482422,39.0,nan,0.0,0.0
1749509390896827564,,51933,,1748046309,187401294,'',3.8399999141693115,0.0,187.0,-3.830719232559204,0.19910137355327606,0.0036864886060357094,18.010000228881836,9.1,1.6,858.780029296875,58.27000045776367,57.0,nan,0.0,0.0
1749509391107851261,,51934,,1748046309,292985439,'',3.8399999141693115,0.0,187.0,-3.7929866313934326,0.6581913232803345,-0.4282952845096588,17.90999984741211,7.5,2.5,858.77001953125,58.75,56.0,nan,0.0,0.0
1749509391284376577,,51935,,1748046309,380529165,'',4.230000019073486,0.0,187.0,-4.193136692047119,-0.009672262705862522,-0.489888459444046,17.90999984741211,7.5,2.5,858.77001953125,58.75,56.0,nan,0.0,0.0
1749509391294313418,,51936,,1748046309,386201381,'',4.230000019073486,0.0,187.0,-4.193136692047119,-0.009672262705862522,-0.489888459444046,17.90999984741211,-3.9,-1.5,858.77001953125,57.529998779296875,30.0,nan,0.0,0.0
1749509391496499069,,51937,,1748046309,487326860,'',3.559999942779541,0.0,202.0,-3.38100004196167,1.068444013595581,-0.5595827102661133,18.229999542236328,-9.4,-2.3,858.7899780273438,57.29999923706055,24.0,nan,0.0,0.0
1749509391707843565,,51938,,1748046309,592927455,'',3.559999942779541,0.0,202.0,-2.697871685028076,0.8810778856277466,-0.17756643891334534,18.110000610351562,-10.0,0.9,858.760009765625,57.79999923706055,28.0,nan,0.0,0.0
1749509391882973640,,51939,,1748046309,680171489,'',1.9700000286102295,0.0,204.0,-1.8463952541351318,0.6951672434806824,-0.2237231582403183,18.110000610351562,-10.0,0.9,858.760009765625,57.79999923706055,28.0,nan,0.0,0.0
