rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1727207299243569675,,17226,,1722536396,552221376,'',41,"[1499, 1503, 1079, 1505, 999, 1484, 1998]"
1727207299294376182,,17227,,1722536396,617221120,'',41,"[1500, 1502, 1100, 1503, 999, 1484, 1998]"
1727207299344236596,,17228,,1722536396,660221120,'',41,"[1500, 1502, 1128, 1503, 999, 1484, 1999]"
1727207299396555902,,17229,,1722536396,703221376,'',41,"[1500, 1503, 1157, 1503, 999, 1484, 1998]"
1727207299445295455,,17230,,1722536396,768221376,'',41,"[1500, 1502, 1179, 1503, 999, 1483, 1999]"
1727207299495417768,,17231,,1722536396,810221888,'',41,"[1500, 1503, 1178, 1504, 998, 1484, 1999]"
1727207299544956361,,17232,,1722536396,855221888,'',41,"[1500, 1503, 1179, 1503, 999, 1484, 1998]"
1727207299597525926,,17233,,1722536396,923222400,'',41,"[1500, 1503, 1179, 1503, 999, 1484, 1999]"
1727207299646616609,,17234,,1722536396,967222400,'',41,"[1500, 1502, 1203, 1503, 999, 1484, 1999]"
1727207299696262126,,17235,,1722536397,10223936,'',41,"[1499, 1503, 1217, 1503, 999, 1484, 1998]"
1727207299744888519,,17236,,1722536397,54223936,'',41,"[1499, 1503, 1226, 1503, 999, 1484, 1999]"
1727207299794647338,,17237,,1722536397,119225216,'',41,"[1500, 1502, 1253, 1504, 999, 1483, 1999]"
1727207299847503115,,17238,,1722536397,163225216,'',41,"[1500, 1502, 1261, 1503, 999, 1483, 1999]"
1727207299896927373,,17239,,1722536397,184224704,'',41,"[1500, 1502, 1267, 1504, 998, 1484, 1999]"
1727207299944193513,,17240,,1722536397,270224704,'',41,"[1500, 1502, 1329, 1503, 999, 1484, 1999]"
1727207299995434092,,17241,,1722536397,315224960,'',41,"[1499, 1503, 1335, 1503, 999, 1484, 1999]"
1727207300044426350,,17242,,1722536397,363224960,'',41,"[1499, 1503, 1336, 1504, 998, 1484, 1999]"
1727207300094062355,,17243,,1722536397,403226752,'',41,"[1500, 1502, 1340, 1504, 998, 1484, 1999]"
1727207300143877634,,17244,,1722536397,448226752,'',41,"[1499, 1503, 1349, 1503, 999, 1484, 1999]"
1727207300193816472,,17245,,1722536397,516228288,'',41,"[1500, 1502, 1367, 1502, 999, 1484, 1999]"
