rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,speed,speed2d,direction,northsouth,westeast,updown,temperature,pitch,roll,pressure,humidity,heading,levelx,levely,levelz
1727207299231044722,,14310,,1722536396,559794664,'',0.2939999997615814,0.27900001406669617,349.0,0.09168113023042679,-0.26430749893188477,0.0009755967184901237,7.739999771118164,0.4,7.0,1019.9199829101562,100.0,285.0,nan,1985.0,16212.0
1727207299233104056,,14311,,1722536396,562287569,'',0.2939999997615814,0.27900001406669617,349.0,0.09168113023042679,-0.26430749893188477,0.0009755967184901237,7.710000038146973,-0.4,7.0,1019.9199829101562,100.0,285.0,-111.0,2013.0,16280.0
1727207299245987458,,14312,,1722536396,575011730,'',0.28999999165534973,0.24300000071525574,351.0,0.07942034304141998,-0.23188036680221558,0.004812716040760279,7.71999979019165,1.2,6.4,1019.9400024414062,100.0,303.0,341.0,1813.0,16072.0
1727207299312176281,,14313,,1722536396,640941858,'',0.28999999165534973,0.34700000286102295,1.0,0.040751323103904724,-0.3446502089500427,-0.0007563949329778552,7.71999979019165,-0.9,7.5,1019.9400024414062,100.0,298.0,-267.0,2113.0,16040.0
1727207299320701169,,14314,,1722536396,649970769,'',0.8899999856948853,0.8450000286102295,294.0,0.7965481281280518,-0.2410675585269928,-0.051058586686849594,7.800000190734863,0.5,5.9,1019.9400024414062,100.0,299.0,137.0,1677.0,16288.0
1727207299333393907,,14315,,1722536396,662498712,'',0.34200000762939453,0.34200000762939453,2.0,0.03512975573539734,-0.340368390083313,-0.0005029744352214038,7.679999828338623,-1.6,7.2,1019.9199829101562,100.0,297.0,-447.0,2053.0,16180.0
1727207299355649434,,14316,,1722536396,684709072,'',0.38499999046325684,0.3440000116825104,352.0,0.10092215985059738,-0.3296045958995819,0.007719092536717653,7.679999828338623,-1.6,7.2,1019.9199829101562,100.0,297.0,nan,2053.0,16180.0
1727207299359570716,,14317,,1722536396,687247514,'',0.38499999046325684,0.3440000116825104,352.0,0.10092215985059738,-0.3296045958995819,0.007719092536717653,7.710000038146973,1.8,6.4,1019.9299926757812,100.0,294.0,529.0,1825.0,16328.0
1727207299370775992,,14318,,1722536396,699972629,'',0.24699999392032623,0.18400000035762787,327.0,0.12793157994747162,-0.13823777437210083,0.0039127846248447895,7.619999885559082,-0.1,6.8,1019.8900146484375,100.0,292.0,-15.0,1913.0,16016.0
1727207299436818696,,14319,,1722536396,765938282,'',0.382999986410141,0.34200000762939453,321.0,0.25441911816596985,-0.2368236780166626,-0.002478602109476924,7.710000038146973,-1.3,6.9,1019.9299926757812,100.0,278.0,-383.0,1973.0,16204.0
