rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,speed,speed2d,direction,northsouth,westeast,updown,temperature,pitch,roll,pressure,humidity,heading,levelx,levely,levelz
1727207310133240934,,14827,,1722536407,462255001,'',4.257999897003174,4.257999897003174,261.0,-0.6287084221839905,4.154160976409912,-0.6916310787200928,7.21999979019165,-1.3,7.8,1019.6599731445312,100.0,280.0,-379.0,2273.0,16540.0
1727207310145873833,,14828,,1722536407,475012779,'',3.753999948501587,3.753999948501587,268.0,-0.11557872593402863,3.707117795944214,-0.5786876082420349,7.349999904632568,-1.3,7.4,1019.7000122070312,100.0,286.0,-375.0,2129.0,16316.0
1727207310213458608,,14829,,1722536407,540873050,'',4.061999797821045,4.061999797821045,280.0,0.6904252171516418,3.9669065475463867,-0.5321818590164185,7.400000095367432,-0.7,6.6,1019.6799926757812,100.0,287.0,-207.0,1909.0,16536.0
1727207310221449153,,14830,,1722536407,549952030,'',3.931999921798706,3.930999994277954,274.0,0.28392747044563293,3.8892154693603516,-0.5458579659461975,7.460000038146973,-1.0,6.6,1019.6799926757812,100.0,282.0,-299.0,1885.0,16364.0
1727207310234518216,,14831,,1722536407,562466144,'',4.406000137329102,4.406000137329102,285.0,1.1218165159225464,4.2275848388671875,-0.5334141850471497,7.190000057220459,-0.8,6.0,1019.6699829101562,100.0,286.0,-239.0,1749.0,16592.0
1727207310255593376,,14832,,1722536407,584727048,'',3.9000000953674316,3.9000000953674316,279.0,0.584960401058197,3.8220019340515137,-0.5132521986961365,7.190000057220459,-0.8,6.0,1019.6699829101562,100.0,286.0,nan,1749.0,16592.0
1727207310258054094,,14833,,1722536407,587239742,'',3.9000000953674316,3.9000000953674316,279.0,0.584960401058197,3.8220019340515137,-0.5132521986961365,7.699999809265137,-1.8,6.8,1019.6799926757812,100.0,283.0,-527.0,1989.0,16756.0
1727207310271341372,,14834,,1722536407,599970102,'',3.8940000534057617,3.8940000534057617,282.0,0.783268928527832,3.7828638553619385,-0.4907369911670685,7.510000228881836,-1.7,7.2,1019.6500244140625,100.0,283.0,-503.0,2097.0,16532.0
1727207310336785884,,14835,,1722536407,665861845,'',4.531000137329102,4.531000137329102,286.0,1.2553693056106567,4.3232831954956055,-0.5106603503227234,7.269999980926514,-2.7,7.5,1019.6500244140625,100.0,283.0,-783.0,2161.0,16420.0
1727207310345863646,,14836,,1722536407,674972534,'',4.006999969482422,4.006999969482422,282.0,0.8010451793670654,3.8950612545013428,-0.4887380003929138,7.550000190734863,-3.3,8.4,1019.6599731445312,100.0,281.0,-967.0,2449.0,16464.0
1727207310358280245,,14837,,1722536407,687455415,'',3.9649999141693115,3.9649999141693115,288.0,1.2002038955688477,3.759739875793457,-0.386233925819397,7.28000020980835,-2.0,8.5,1019.6500244140625,100.0,280.0,-583.0,2453.0,16348.0
1727207310380813660,,14838,,1722536407,709721803,'',3.747999906539917,3.7300000190734863,290.0,1.2787365913391113,3.457646369934082,-0.38591712713241577,7.28000020980835,-2.0,8.5,1019.6500244140625,100.0,280.0,nan,2453.0,16348.0
1727207310383044372,,14839,,1722536407,712249040,'',3.747999906539917,3.7300000190734863,290.0,1.2787365913391113,3.457646369934082,-0.38591712713241577,7.46999979019165,-2.7,6.9,1019.6400146484375,100.0,289.0,-791.0,2053.0,16876.0
1727207310395828120,,14840,,1722536407,724961757,'',3.390000104904175,3.390000104904175,288.0,1.0697252750396729,3.2000255584716797,-0.3243849277496338,7.449999809265137,-3.0,7.1,1019.6699829101562,100.0,282.0,-859.0,2049.0,16428.0
1727207310462487831,,14841,,1722536407,790857791,'',3.4700000286102295,3.4700000286102295,286.0,0.9657127857208252,3.3209030628204346,-0.2865762710571289,7.260000228881836,-1.3,7.6,1019.6500244140625,100.0,283.0,-363.0,2197.0,16464.0
1727207310471985587,,14842,,1722536407,800170421,'',3.566999912261963,3.5429999828338623,300.0,1.7804889678955078,3.0339484214782715,-0.23124398291110992,7.409999847412109,-1.0,7.3,1019.6599731445312,100.0,289.0,-291.0,2153.0,16696.0
1727207310485999708,,14843,,1722536407,812473773,'',3.0380001068115234,3.003999948501587,293.0,1.208988070487976,2.710096597671509,-0.25426149368286133,7.139999866485596,-1.7,7.4,1019.6699829101562,100.0,287.0,-491.0,2137.0,16412.0
1727207310506000557,,14844,,1722536407,834734916,'',3.687000036239624,3.671999931335449,297.0,1.6973917484283447,3.236333131790161,-0.19959495961666107,7.139999866485596,-1.7,7.4,1019.6699829101562,100.0,287.0,nan,2137.0,16412.0
1727207310546606219,,14845,,1722536407,875114917,'',3.687000036239624,3.671999931335449,297.0,1.6973917484283447,3.236333131790161,-0.19959495961666107,7.440000057220459,-1.9,7.0,1019.6900024414062,100.0,283.0,-543.0,2029.0,16488.0
1727207310558115417,,14846,,1722536407,887448310,'',3.384000062942505,3.371000051498413,302.0,1.8245652914047241,2.823107957839966,-0.12205750495195389,7.25,-2.1,6.4,1019.6599731445312,100.0,294.0,-607.0,1853.0,16556.0
1727207310571035405,,14847,,1722536407,899963617,'',3.5929999351501465,3.5810000896453857,291.0,1.3181461095809937,3.306868553161621,-0.21920379996299744,7.28000020980835,-2.0,7.5,1019.6500244140625,100.0,291.0,-579.0,2161.0,16496.0
1727207310583277001,,14848,,1722536407,912470102,'',3.7709999084472656,3.7679998874664307,297.0,1.724194049835205,3.3390257358551025,-0.1663375049829483,7.269999980926514,-1.7,8.2,1019.7000122070312,100.0,287.0,-479.0,2317.0,16160.0
1727207310595760755,,14849,,1722536407,924965143,'',3.7170000076293945,3.7160000801086426,295.0,1.535995602607727,3.383995532989502,-0.15897870063781738,7.079999923706055,-1.4,7.1,1019.6599731445312,100.0,283.0,-403.0,2049.0,16376.0
1727207310662450604,,14850,,1722536407,990875482,'',3.309999942779541,3.308000087738037,294.0,1.3446376323699951,3.0149548053741455,-0.14421583712100983,7.590000152587891,-1.6,7.9,1019.6900024414062,100.0,290.0,-459.0,2257.0,16300.0
1727207310671652649,,14851,,1722536407,999955892,'',3.4030001163482666,3.3550000190734863,286.0,0.871682345867157,3.269242286682129,-0.14285895228385925,7.159999847412109,-1.7,7.6,1019.7000122070312,100.0,278.0,-479.0,2197.0,16408.0
1727207310683981954,,14852,,1722536408,12486219,'',3.444000005722046,3.434999942779541,293.0,1.329662561416626,3.1760475635528564,-0.11994139850139618,7.210000038146973,-1.3,6.3,1019.6900024414062,100.0,287.0,-383.0,1873.0,16956.0
1727207310705905936,,14853,,1722536408,34713029,'',3.00600004196167,2.9839999675750732,287.0,0.8895232081413269,2.8636770248413086,-0.25404635071754456,7.210000038146973,-1.3,6.3,1019.6900024414062,100.0,287.0,nan,1873.0,16956.0
