rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1749510504176070282,,163443,,1748040119,92810688,"""base_link""",,0.010541299548766196,-0.04013298384407936,-0.5754894225449693,-0.8167559379787925,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.09022588282823563,-0.22595131397247317,-0.2047835141420364,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,1.3685615062713623,4.099749565124513,3.824292182922363,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504214284494,,163444,,1748040119,114810688,"""base_link""",,0.007844742863950182,-0.03885978155121491,-0.5735570211508811,-0.8182058422511278,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.1123972088098526,-0.19476702809333804,-0.25083690881729126,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,6.737459182739258,2.4949257373809828,10.785069465637207,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504261912571,,163445,,1748040119,135810688,"""base_link""",,0.0034534376929088294,-0.038330976896749865,-0.5711169504297673,-0.8199660843057611,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.2685074806213379,-0.2369247674942017,-0.3131000399589538,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,0.2639800012111664,-2.1354169845581064,-8.288508415222168,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504298362158,,163446,,1748040119,156813760,"""base_link""",,0.0006361869219367895,-0.03656650171801932,-0.5678962990008072,-0.8222872376938015,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.12547051906585693,-0.2743660211563111,-0.39129397273063654,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-0.8778389692306519,-0.8260655403137184,19.025001525878906,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504342082289,,163447,,1748040119,178813760,"""base_link""",,-0.0031441575330906444,-0.03586915181635921,-0.5644755554085419,-0.8246641724358462,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.13023744523525238,-0.11258462816476826,-0.3880351185798645,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,2.042903423309326,-6.6766538619995135,-12.022257804870605,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504374083585,,163448,,1748040119,193813760,"""base_link""",,-0.005757474192097645,-0.03404903357797117,-0.5611256817420474,-0.827009939583417,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.16553851962089539,-0.2512777149677277,-0.4617441296577453,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,10.186302185058594,2.0059201717376713,2.72813606262207,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504415870562,,163449,,1748040119,215813760,"""base_link""",,-0.009397804182193856,-0.03226443986452175,-0.5564999702875677,-0.8301678448916564,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.14350266754627228,-0.3494641482830048,-0.5227457284927368,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.8033256530761719,0.9757592082023635,12.060953140258789,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504458795448,,163450,,1748040119,231813760,"""base_link""",,-0.011617041880723425,-0.03119186776582579,-0.552822636681568,-0.8326340466588471,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.13309460878372192,-0.4802066087722779,-0.581279695034027,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-6.797938346862793,-2.480489015579223,3.02873969078064,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504491751645,,163451,,1748040119,252816576,"""base_link""",,-0.014226727325313408,-0.028522373309020806,-0.5471833883508104,-0.836405768132087,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.07319362461566925,-0.40302214026451116,-0.6411717534065247,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-5.675777435302734,1.5351480245590248,31.443401336669922,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1749510504533975780,,163452,,1748040119,273816576,"""base_link""",,-0.016843551392369926,-0.027481894059832368,-0.5415384607322158,-0.8400578241656923,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.20155717432498932,-0.3061408400535584,-0.6403908729553223,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,4.295931339263916,-2.272093772888183,2.3278193473815922,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
