rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,coordinate_frame,type_mask,position,x,y,z,velocity,x,y,z,acceleration_or_force,x,y,z,yaw,yaw_rate
1749510504817737860,,10484,,1748040119,419592857,'',1,2531,,0.0,0.0,2.0,,0.85,0.53,0.0,,0.0,0.0,0.0,0.5599015951156616,0.0
1749510504838045907,,10485,,1748040119,429669141,'',1,2531,,0.0,0.0,2.0,,0.85,0.52,0.0,,0.0,0.0,0.0,0.5459389686584473,0.0
1749510504857764308,,10486,,1748040119,439725160,'',1,2531,,0.0,0.0,2.0,,0.86,0.51,0.0,,0.0,0.0,0.0,0.5321508646011353,0.0
1749510504877617947,,10487,,1748040119,449562549,'',1,2531,,0.0,0.0,2.0,,0.87,0.5,0.0,,0.0,0.0,0.0,0.5181882381439209,0.0
1749510504898797688,,10488,,1748040119,459896802,'',1,2531,,0.0,0.0,2.0,,0.88,0.48,0.0,,0.0,0.0,0.0,0.5040510892868042,0.0
1749510504917800335,,10489,,1748040119,469574689,'',1,2531,,0.0,0.0,2.0,,0.88,0.47,0.0,,0.0,0.0,0.0,0.49008846282958984,0.0
1749510504937644186,,10490,,1748040119,479664802,'',1,2531,,0.0,0.0,2.0,,0.89,0.46,0.0,,0.0,0.0,0.0,0.47595128417015076,0.0
1749510504957949365,,10491,,1748040119,489587545,'',1,2531,,0.0,0.0,2.0,,0.9,0.45,0.0,,0.0,0.0,0.0,0.46181410551071167,0.0
1749510504977597216,,10492,,1748040119,499588966,'',1,2531,,0.0,0.0,2.0,,0.9,0.43,0.0,,0.0,0.0,0.0,0.44767695665359497,0.0
1749510504998005067,,10493,,1748040119,509632587,'',1,2531,,0.0,0.0,2.0,,0.91,0.42,0.0,,0.0,0.0,0.0,0.4335397779941559,0.0
1749510505017437554,,10494,,1748040119,519592285,'',1,2531,,0.0,0.0,2.0,,0.91,0.41,0.0,,0.0,0.0,0.0,0.41922807693481445,0.0
1749510505038319319,,10495,,1748040119,529741048,'',1,2531,,0.0,0.0,2.0,,0.92,0.39,0.0,,0.0,0.0,0.0,0.404916375875473,0.0
1749510505057780041,,10496,,1748040119,539772987,'',1,2531,,0.0,0.0,2.0,,0.92,0.38,0.0,,0.0,0.0,0.0,0.3906046748161316,0.0
1749510505078058875,,10497,,1748040119,549681901,'',1,2531,,0.0,0.0,2.0,,0.93,0.37,0.0,,0.0,0.0,0.0,0.37629297375679016,0.0
1749510505098405564,,10498,,1748040119,559672832,'',1,2531,,0.0,0.0,2.0,,0.94,0.35,0.0,,0.0,0.0,0.0,0.36198127269744873,0.0
