rosbagTimestamp,data
1749510504172698333,-330.16162109375
1749510504242057787,-299.01495361328125
1749510504311395135,-321.1783142089844
1749510504376481625,-306.74658203125
1749510504443674419,-287.5323791503906
1749510504511657285,-288.2859802246094
1749510504576626176,-250.1875762939453
1749510504645282822,-274.400390625
1749510504710532108,-270.85491943359375
1749510504778015486,-278.4483947753906
1749510504845521344,-270.74072265625
1749510504911402254,-263.3017272949219
1749510504979682533,-289.11236572265625
1749510505044132440,-276.5807800292969
1749510505112879180,-296.9748229980469
1749510505178598922,-297.4859313964844
1749510505247698943,-282.59649658203125
1749510505311403503,-301.88250732421875
1749510505378541786,-260.5986022949219
1749510505446618276,-296.4320983886719
1749510505511859485,-289.0922546386719
1749510505578064326,-294.2958679199219
1749510505647133460,-262.0340881347656
1749510505711474088,-244.4366912841797
1749510505780607635,-245.46372985839844
1749510505836680590,-282.60284423828125
1749510505905610890,-303.2764587402344
1749510505981038626,-415.4217224121094
1749510506036008529,-408.0160217285156
1749510506112635758,-428.08746337890625
1749510506180236034,-526.9080200195312
1749510506246518684,-393.3472595214844
1749510506311149735,-494.00445556640625
1749510506373444047,-431.38934326171875
1749510506440901895,-464.0234069824219
1749510506505911688,-412.91839599609375
1749510506575575331,-412.228759765625
1749510506637726231,-359.661865234375
1749510506711760291,-369.09906005859375
1749510506776973212,-417.1736755371094
1749510506849634792,-396.8025817871094
1749510506903751066,-400.86895751953125
1749510506978834110,-381.6002502441406
1749510507046612878,-401.44384765625
1749510507102619707,-373.56597900390625
1749510507179184633,-315.174072265625
1749510507246651141,-302.2693176269531
1749510507315005596,-244.18658447265625
1749510507372170969,-213.3684539794922
1749510507446345332,-162.03958129882812
1749510507514205933,-167.42445373535156
1749510507581553323,-125.85198974609375
1749510507645322037,-122.97808074951172
1749510507711725590,-117.74590301513672
1749510507780697600,-136.03347778320312
1749510507847139458,-120.83816528320312
1749510507909592771,-131.8976593017578
1749510507980281444,-152.37669372558594
1749510508047632025,-148.43186950683594
1749510508113808863,-178.0670623779297
1749510508179337768,-184.5959930419922
1749510508246911933,-184.78089904785156
1749510508307410648,-176.16726684570312
1749510508382124653,-179.9134979248047
1749510508446483109,-160.8430633544922
1749510508514744462,-164.66259765625
1749510508581687779,-132.39389038085938
1749510508651843165,-149.88232421875
1749510508713233388,-120.77532958984375
1749510508780814494,-114.21694946289062
1749510508847038101,-119.25656127929688
1749510508913658579,-100.57078552246094
1749510508982287204,-100.4829330444336
1749510509051793549,-87.28874969482422
1749510509121659034,-110.86141204833984
1749510509185158703,-108.39236450195312
1749510509252878210,-141.3286590576172
1749510509313995711,-142.71603393554688
1749510509378225000,-140.82598876953125
1749510509448305023,-148.6376953125
1749510509513287584,-137.81497192382812
1749510509582317112,-121.1034927368164
1749510509645506823,-103.18621063232422
1749510509714283544,-57.33995819091797
1749510509778911394,-48.61211395263672
1749510509847420875,-13.89692211151123
1749510509916470614,2.7991364002227783
1749510509980117204,-23.859031677246094
1749510510046581459,-59.58960723876953
1749510510112372286,-89.00728607177734
1749510510180795532,-166.3510284423828
1749510510245564072,-170.27647399902344
1749510510313057001,-231.09535217285156
1749510510379219866,-241.74952697753906
1749510510438538305,-236.1002655029297
1749510510508726636,-281.9410400390625
1749510510580874356,-273.4771728515625
1749510510645025660,-245.38682556152344
1749510510711562115,-272.10247802734375
1749510510778793826,-236.7849884033203
1749510510848516950,-199.3074493408203
1749510510913232346,-187.64752197265625
1749510510980572174,-172.01327514648438
1749510511047547060,-178.39837646484375
1749510511114068033,-168.42469787597656
1749510511181786062,-170.90428161621094
1749510511247960734,-201.35386657714844
1749510511314709236,-145.1530303955078
1749510511382696492,-157.63751220703125
1749510511447113692,-173.62826538085938
1749510511515418845,-173.53228759765625
1749510511581379189,-178.6629638671875
1749510511647471449,-185.06787109375
1749510511715147631,-146.33863830566406
1749510511782578751,-179.2295379638672
1749510511846614521,-183.42698669433594
1749510511912756626,-201.6813201904297
1749510511982281122,-195.7456512451172
1749510512050841253,-207.8151092529297
1749510512115489544,-204.26388549804688
1749510512176223799,-176.50538635253906
1749510512243467278,-221.09361267089844
1749510512315481513,-244.46864318847656
1749510512381366957,-268.8512878417969
1749510512449362165,-301.4518737792969
1749510512516645152,-253.24949645996094
1749510512583576641,-296.48968505859375
1749510512651247524,-277.7795104980469
1749510512714896299,-269.172119140625
1749510512780441754,-291.0573425292969
1749510512847019658,-221.29635620117188
1749510512917967926,-288.9123229980469
1749510512974591840,-298.7524719238281
1749510513048963712,-307.8752746582031
1749510513113640181,-357.6220397949219
1749510513181058650,-340.2467956542969
1749510513249695328,-373.33819580078125
1749510513315628707,-427.42718505859375
1749510513385759165,-337.7137451171875
1749510513448307797,-380.9698791503906
1749510513515686797,-392.8813781738281
1749510513589001582,-339.9855651855469
1749510513648353071,-350.0306701660156
1749510513715237534,-330.91510009765625
1749510513783200576,-347.41204833984375
1749510513851866138,-355.1662902832031
1749510513915902548,-368.2704162597656
1749510513984060090,-318.1325378417969
1749510514046713196,-365.9375
1749510514115456831,-350.5016784667969
1749510514185266390,-311.8562927246094
1749510514251195066,-289.3246765136719
1749510514315383243,-294.1383361816406
1749510514383995943,-249.51019287109375
1749510514448632673,-237.111083984375
1749510514513359150,-210.8820037841797
1749510514578330175,-178.5491485595703
1749510514655403627,-188.15513610839844
1749510514717143685,-176.76004028320312
1749510514783693002,-199.35833740234375
