rosbagTimestamp,data
1749510504171490993,215.7450408935547
1749510504240966572,172.56011962890625
1749510504310315181,171.69615173339844
1749510504376691900,158.1800994873047
1749510504443004979,116.96038818359375
1749510504510043700,110.76468658447266
1749510504574697980,56.30277633666992
1749510504644276342,77.72279357910156
1749510504708945691,52.284149169921875
1749510504778067182,68.73783111572266
1749510504844777045,54.52255630493164
1749510504910508449,56.50265884399414
1749510504978736614,73.97383880615234
1749510505043041299,54.72222137451172
1749510505109148698,58.974273681640625
1749510505176776598,34.41543960571289
1749510505246416842,25.121936798095703
1749510505309933883,29.29313087463379
1749510505377118024,47.39659118652344
1749510505445905154,46.497711181640625
1749510505509978981,11.930370330810547
1749510505578213655,9.435012817382812
1749510505645516794,-24.838441848754883
1749510505710484070,-64.75788879394531
1749510505779204709,-75.21538543701172
1749510505836243392,-100.5233383178711
1749510505905195616,-115.82951354980469
1749510505979868787,-120.0757827758789
1749510506035444081,-74.95785522460938
1749510506111997012,-46.027679443359375
1749510506180369458,-22.936111450195312
1749510506244573552,-67.0565414428711
1749510506309609482,-35.09136962890625
1749510506372327165,12.274895668029785
1749510506440534185,-22.7652645111084
1749510506505483256,-18.87029266357422
1749510506574524411,-63.866432189941406
1749510506637311714,-95.06060028076172
1749510506711201626,-147.1814727783203
1749510506777107007,-161.15594482421875
1749510506848708862,-162.51632690429688
1749510506903410641,-180.4095001220703
1749510506976734484,-103.31244659423828
1749510507045406620,-115.60222625732422
1749510507102625720,-58.58012390136719
1749510507178249018,-14.184460639953613
1749510507246140616,19.325584411621094
1749510507313656609,49.964359283447266
1749510507372180079,31.945749282836914
1749510507445681342,60.09433364868164
1749510507512507295,57.01197052001953
1749510507580085088,41.212547302246094
1749510507644820718,5.170719146728516
1749510507709662714,-13.72475814819336
1749510507779674372,-28.107349395751953
1749510507846569535,-45.838409423828125
1749510507908509087,-40.01424789428711
1749510507979750989,-59.72517395019531
1749510508045865153,-47.73671340942383
1749510508112162261,-78.03522491455078
1749510508178213017,-80.06444549560547
1749510508245415147,-99.0521011352539
1749510508306718859,-80.99738311767578
1749510508380741722,-86.84515380859375
1749510508444938700,-74.1545639038086
1749510508512536284,-96.95320129394531
1749510508580387930,-65.13406372070312
1749510508650171163,-90.9869155883789
1749510508711367056,-69.76972198486328
1749510508780101698,-75.88936614990234
1749510508846559237,-83.63558197021484
1749510508912551716,-69.4731674194336
1749510508980524896,-76.06507110595703
1749510509050034312,-63.20518112182617
1749510509119541897,-94.05199432373047
1749510509182793799,-97.81857299804688
1749510509250983235,-130.1363983154297
1749510509312822467,-135.98333740234375
1749510509376603862,-136.62525939941406
1749510509446746291,-144.5154266357422
1749510509513312219,-134.88905334472656
1749510509580701480,-118.49198150634766
1749510509646008990,-99.91654968261719
1749510509715194341,-53.62148666381836
1749510509778969119,-44.6423454284668
1749510509848210386,-8.5482759475708
1749510509915544029,8.840083122253418
1749510509977549427,-16.184030532836914
