rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,speed,speed2d,direction,northsouth,westeast,updown,temperature,pitch,roll,pressure,humidity,heading,levelx,levely,levelz
1741821147534208881,,215,,1741734305,946764230,'',2.559999942779541,0.0,57.0,1.578635811805725,-1.5254127979278564,-0.1301552653312683,19.709999084472656,0.6,-1.0,850.760009765625,36.41999816894531,42.0,nan,0.0,0.0
1741821147547124203,,216,,1741734305,951474666,'',2.559999942779541,0.0,57.0,1.578635811805725,-1.5254127979278564,-0.1301552653312683,19.860000610351562,-0.9,-1.0,850.760009765625,36.150001525878906,41.0,nan,0.0,0.0
1741821147643466289,,217,,1741734306,54387807,'',1.590000033378601,0.0,35.0,1.3448400497436523,-0.511030375957489,-0.11710941791534424,19.610000610351562,-0.2,-2.2,850.760009765625,36.7599983215332,39.0,nan,0.0,0.0
1741821147731450763,,218,,1741734306,144186735,'',1.7899999618530273,0.0,58.0,1.0506813526153564,-1.02556312084198,-0.06885354220867157,19.610000610351562,-0.2,-2.2,850.760009765625,36.7599983215332,39.0,nan,0.0,0.0
1741821147745185953,,219,,1741734306,157191753,'',1.7899999618530273,0.0,58.0,1.0129941701889038,-1.0408706665039062,-0.07377592474222183,19.739999771118164,-0.5,-1.5,850.760009765625,36.43000030517578,39.0,nan,0.0,0.0
1741821147834771047,,220,,1741734306,247315168,'',1.8700000047683716,0.0,50.0,1.3422205448150635,-1.023903250694275,-0.11063840240240097,19.649999618530273,-0.5,-1.5,850.760009765625,36.54999923706055,39.0,nan,0.0,0.0
1741821147846621015,,221,,1741734306,253075599,'',1.8700000047683716,0.0,50.0,1.3412283658981323,-1.0240198373794556,-0.11151179671287537,19.649999618530273,-1.2,-2.4,850.760009765625,36.54999923706055,37.0,nan,0.0,0.0
1741821147930436783,,222,,1741734306,343125343,'',1.399999976158142,0.0,355.0,1.329241156578064,-1.0219963788986206,-0.12724950909614563,19.649999618530273,-1.2,-2.4,850.760009765625,36.54999923706055,37.0,nan,0.0,0.0
1741821147943424798,,223,,1741734306,356141090,'',1.399999976158142,0.0,355.0,1.6884205341339111,-0.9225587844848633,-0.16438233852386475,19.420000076293945,-1.2,-1.0,850.760009765625,37.16999816894531,41.0,nan,0.0,0.0
1741821148034229678,,224,,1741734306,446818828,'',1.8300000429153442,0.0,32.0,1.6950756311416626,-0.5451654195785522,-0.17248767614364624,19.389999389648438,-1.2,-1.0,850.760009765625,37.16999816894531,41.0,nan,0.0,0.0
1741821148045504274,,225,,1741734306,452276706,'',1.8300000429153442,0.0,32.0,1.6954411268234253,-0.545447826385498,-0.171027272939682,19.389999389648438,0.8,-0.9,850.760009765625,37.16999816894531,44.0,nan,0.0,0.0
1741821148145133919,,226,,1741734306,555214643,'',1.8300000429153442,0.0,37.0,1.2624956369400024,-0.5517875552177429,-0.11460749059915543,19.479999542236328,-1.2,-1.4,850.760009765625,36.939998626708984,40.0,nan,0.0,0.0
1741821148233944138,,227,,1741734306,646811723,'',0.7300000190734863,0.0,49.0,0.4653896391391754,-0.3675422966480255,-0.040186721831560135,19.479999542236328,-1.2,-1.4,850.760009765625,36.939998626708984,40.0,nan,0.0,0.0
1741821148238050029,,228,,1741734306,651037454,'',0.7300000190734863,0.0,49.0,0.4653896391391754,-0.3675422966480255,-0.040186721831560135,19.56999969482422,-0.8,-2.8,850.77001953125,36.72999954223633,38.0,nan,0.0,0.0
1741821148343498283,,229,,1741734306,752285957,'',2.259999990463257,0.0,57.0,1.4213796854019165,-1.4560014009475708,-0.12390110641717911,19.260000228881836,-0.3,-2.2,850.760009765625,37.59000015258789,40.0,nan,0.0,0.0
1741821148446427748,,230,,1741734306,855639696,'',2.259999990463257,0.0,45.0,1.0414963960647583,-0.6556411385536194,-0.0967123955488205,19.299999237060547,-0.2,-0.6,850.760009765625,37.41999816894531,41.0,nan,0.0,0.0
1741821148531704128,,231,,1741734306,944246292,'',1.190000057220459,0.0,31.0,0.11981151252985,-0.5807505249977112,0.00386174488812685,19.299999237060547,-0.2,-0.6,850.760009765625,37.41999816894531,41.0,nan,0.0,0.0
1741821148545704779,,232,,1741734306,957157373,'',1.190000057220459,0.0,31.0,0.11123618483543396,-0.5839426517486572,0.003157090162858367,19.459999084472656,-0.2,-1.5,850.760009765625,36.959999084472656,40.0,nan,0.0,0.0
1741821148634592262,,233,,1741734307,47092914,'',0.6299999952316284,0.0,7.0,0.6151067018508911,0.08032641559839249,-0.06701799482107162,19.360000610351562,-0.2,-1.5,850.760009765625,37.189998626708984,40.0,nan,0.0,0.0
1741821148647216882,,234,,1741734307,52975654,'',0.6299999952316284,0.0,7.0,0.6151067018508911,0.08032641559839249,-0.06701799482107162,19.360000610351562,-0.1,-1.9,850.760009765625,37.189998626708984,40.0,nan,0.0,0.0
1741821148730827059,,235,,1741734307,142853736,'',0.7400000095367432,0.0,36.0,0.6151067018508911,0.08032641559839249,-0.06701799482107162,19.360000610351562,-0.1,-1.9,850.760009765625,37.189998626708984,40.0,nan,0.0,0.0
1741821148744244619,,236,,1741734307,155139684,'',0.7400000095367432,0.0,36.0,0.5433016419410706,0.058157265186309814,-0.06570464372634888,19.479999542236328,-0.9,-1.8,850.75,36.970001220703125,38.0,nan,0.0,0.0
1741821148834273509,,237,,1741734307,246797561,'',1.1399999856948853,0.0,38.0,1.0041966438293457,-0.4515962600708008,-0.0833655372262001,19.479999542236328,-0.9,-1.8,850.75,36.970001220703125,38.0,nan,0.0,0.0
