time,state_x,state_y,state_z,state_v_x,state_v_y,state_v_z,state_phi,state_theta,state_psi,state_wx,state_wy,control_u_thrust,control_u_phi,control_u_theta,control_u_psi,output_x,output_y,output_z,output_v_x,output_v_y,output_v_z,output_phi,output_theta,output_psi,output_wx,output_wy,output_Ax,output_Ay,output_Az,output_rx,output_ry,output_Wax,output_Way
0.0,0.0,0.0,2.0,0.0707372016677029,-0.9974949866040544,0.0,0.0,0.0,0.0,1.0,2.0,17.828783774975143,0.16848353541286182,0.4231194196579486,-0.008429951406125171,0.0,0.0,2.0,0.0707372016677029,-0.9974949866040544,0.0,0.0,0.0,0.0,1.0,2.0,0.03234468494021223,0.10433327485569283,-3.604366942229327,0.03536860083385145,-0.4987474933020272,-0.9292627983322973,-2.9974949866040546
0.1,0.007672402505944292,-0.0994027407859501,1.9819936854909639,0.08791009479475215,-0.9922349595429529,-0.36002446328063636,0.016848353541286182,0.042311941965794866,-0.0008429951406125173,1.0,2.0,29.997899302730264,-0.22306947660239795,0.19110768991975136,0.012456463774983644,0.007672402505944292,-0.0994027407859501,1.9819936854909639,0.08791009479475215,-0.9922349595429529,-0.36002446328063636,0.016848353541286182,0.042311941965794866,-0.0008429951406125173,1.0,2.0,0.47328609171928715,-0.07173114413803698,0.6330210000709996,0.04435437682687458,-0.5006246825136399,-0.9104035598033293,-2.993077243942956
0.2,0.019075690434498683,-0.19860516585191057,1.949141378478292,0.14388529322669588,-0.9879083434359511,-0.29720799980199863,-0.005458594118953613,0.06142271095777001,0.000402651236885847,1.0,2.0,33.96807711315333,-0.06904137102459432,0.2260219690359008,0.006459504279157378,0.019075690434498683,-0.19860516585191057,1.949141378478292,0.14388529322669588,-0.9879083434359511,-0.29720799980199863,-0.005458594118953613,0.06142271095777001,0.000402651236885847,1.0,2.0,0.7555727952298084,0.1685233477822306,2.001081249311037,0.0738198341153827,-0.5068428356937442,-0.8569199281613074,-2.987505530081929
0.30000000000000004,0.037720909044643515,-0.296410002667088,1.9293835749476989,0.23199420470055587,-0.9671296240141742,-0.09839884877657167,-0.012362731221413044,0.08402490786136012,0.001048601664801585,1.0,2.0,33.29662276048852,-0.1963963520645853,0.28714962802234895,-0.0023130991099867093,0.037720909044643515,-0.296410002667088,1.9293835749476989,0.23199420470055587,-0.9671296240141742,-0.09839884877657167,-0.012362731221413044,0.08402490786136012,0.001048601664801585,1.0,2.0,0.9993913750288145,0.2465139939339586,1.7411507665545678,0.12024265558850562,-0.5012635313019035,-0.7701024484620367,-2.96607992297619
0.4,0.06656251159101252,-0.391483075995876,1.9281823569272973,0.34850199544565674,-0.9310889481682723,0.07364652644088482,-0.032002366427871576,0.11273987066359498,0.0008172917538029142,1.0,2.0,30.911319806393216,-0.3492727776884312,0.26615824368987906,-0.0040272083453644645,0.06656251159101252,-0.391483075995876,1.9281823569272973,0.34850199544565674,-0.9310889481682723,0.07364652644088482,-0.032002366427871576,0.11273987066359498,0.0008172917538029142,1.0,2.0,1.232541965824722,0.4462560515966593,0.872906471440251,0.1807412012632564,-0.4828842794993893,-0.6531322538970883,-2.9302709885396827
0.5,0.10811238325340765,-0.4817050090911983,1.9398243898072427,0.48598481951656136,-0.8676241240054802,0.1582394972228396,-0.06692964419671471,0.13935569503258283,0.0004145709192664674,1.0,2.0,28.623569086297714,-0.47078356650319275,0.13964412485127922,-0.0035366716444110782,0.10811238325340765,-0.4817050090911983,1.9398243898072427,0.48598481951656136,-0.8676241240054802,0.1582394972228396,-0.06692964419671471,0.13935569503258283,0.0004145709192664674,1.0,2.0,1.3987266709536141,0.7661177340481303,0.02877274729283547,0.2505303171102271,-0.4472694170484652,-0.5148442363636988,-2.8672093812290447
0.6000000000000001,0.16395080786745717,-0.5638403723169029,1.9556983368298624,0.6324772603500771,-0.7676044119290943,0.15820502932692196,-0.11400800084703402,0.1533201075177108,6.0903754825359656e-05,1.0,2.0,27.262125160009717,-0.508847285311465,-0.08604066743689578,3.924222876413303e-06,0.16395080786745717,-0.5638403723169029,1.9556983368298624,0.6324772603500771,-0.7676044119290943,0.15820502932692196,-0.11400800084703402,0.1533201075177108,6.0903754825359656e-05,1.0,2.0,1.4525621175529875,1.1758183163126914,-0.49861835195113086,0.32340225915173954,-0.39249632597906775,-0.3676445453048648,-2.7675435044650394
0.7000000000000001,0.2343085746627991,-0.6339266871775041,1.9689484305995568,0.7730126669281521,-0.6263210609025008,0.10592211924850008,-0.16489272937818056,0.14471604077402114,6.129617711300099e-05,1.0,2.0,26.95729435970959,-0.41804433114726985,-0.33850336949224247,0.005499547137077903,0.2343085746627991,-0.6339266871775041,1.9689484305995568,0.7730126669281521,-0.6263210609025008,0.10592211924850008,-0.16489272937818056,0.14471604077402114,6.129617711300099e-05,1.0,2.0,1.3426837800889582,1.6315948259897575,-0.6547311714217305,0.3926017842390951,-0.3180992712499749,-0.22710992354738657,-2.626259760968205
0.8,0.3177858116261109,-0.6877609407687851,1.976228587700083,0.8908224280248375,-0.44462796501208557,0.0391858865231066,-0.20669716249290757,0.1108657038247969,0.0006112508908207913,1.0,2.0,27.411214940661573,-0.23584805107846668,-0.5191327130204949,0.00788006339461775,0.3177858116261109,-0.6877609407687851,1.976228587700083,0.8908224280248375,-0.44462796501208557,0.0391858865231066,-0.20669716249290757,0.1108657038247969,0.0006112508908207913,1.0,2.0,1.0369743648462342,2.0431479035563602,-0.5308075808089122,0.45076892094834464,-0.2249881252499943,-0.11039988686685753,-2.4440163405316886
0.9,0.41125488244498837,-0.7215954075124941,1.9774962934865208,0.9697914123897405,-0.23042453874821903,-0.013926731139286436,-0.2302819676007543,0.058952432522747386,0.0013992572302825666,1.0,2.0,28.16781518722516,-0.037145594362554414,-0.584118145960314,0.005584311720668504,0.41125488244498837,-0.7215954075124941,1.9774962934865208,0.9697914123897405,-0.23042453874821903,-0.013926731139286436,-0.2302819676007543,0.058952432522747386,0.0013992572302825666,1.0,2.0,0.5635538350780087,2.3154417284201494,-0.28059004548205935,0.49041376996965325,-0.11652337327113664,-0.03300612219737464,-2.229023324054065
