x,y,z,v_x,v_y,v_z,phi,theta,psi,omega_x,omega_y,omega_z,wx,wy,Ax,Ay,Az,Axt,Ayt,rx,ry,Wax,Way
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.01740341106856945,0.06961364427427776,-1.3895047774854996,0.01740341106856945,0.06961364427427776,0.5,0.0,-0.5000000000000002,-1.9999999999999998
0.10007916492452515,0.0003268672717191014,1.9930605158310708,0.9972952837032979,-0.09119964107769539,-0.1387097804678243,0.0028964810440106838,-0.0012788810044942435,0.09729806362338077,0.05955340498929061,-0.02186996508628042,1.945992749160461,1.5,2.0,-0.16797048889761007,-1.9106572340871575,1.1390797042296872,0.010016801346358578,0.03568688549351043,0.5003838447361161,-0.04575859104793251,-0.6898993661519722,-1.936023267742248
0.2002329288811402,0.001023054954328257,1.9848778893050625,0.9613673862046899,-0.28062659001219004,-0.025013463780903394,0.006655811928008947,-0.004050105400762443,0.2909846741394831,0.02581601844384544,-0.014303614832226443,1.927956765809622,1.5,2.0,-0.5514016782607224,-1.875463993982395,0.8812436922840722,-0.0067722555404656675,-0.009678700621568554,0.484345858949177,-0.14138229435889474,-1.049366664245386,-1.7662068060761464
0.3003527902225202,0.0016237533620140643,1.9867773016782333,0.8985092792833643,-0.4409714162415224,0.06294785975068566,0.007309531907920668,-0.006213161803525867,0.4609578031031287,0.004671035077664042,-0.004957839191731172,1.471682305274097,1.5,2.0,-0.6688370282105784,-1.3499503533532482,0.0988196900122792,-0.015128293623241617,-0.01797430605859557,0.4522445865092139,-0.22195311767908427,-1.3345433183926239,-1.565015942055568
0.4004106637156054,0.001974053882570394,1.993565539542911,0.8242373966802562,-0.5667414779129627,0.07281078556052144,0.006531623266681771,-0.0073521467087000305,0.6046015429586407,-0.0006461355259333543,0.0021651952373988263,1.4012149777733975,1.5,2.0,-0.8152456291876585,-1.1771421106985247,-0.32377972412268924,-0.015927419000304005,-0.014658003994186467,0.41344885850566976,-0.28428535037925384,-1.5467241914295187,-1.3595473480400546
0.5004184329395183,0.0020997448686665885,1.9992296620472778,0.7326396429927919,-0.6805078463915865,0.04049140602933846,0.005172249648967966,-0.007579106902456905,0.7488841265838663,-0.0048812050057323,0.010239639868837136,1.48433307045312,1.5,2.0,-1.0270412282193264,-1.103018078363883,-0.3334586847107159,-0.011700808749687028,-0.009895278412600517,0.36646097089343127,-0.34038502894896216,-1.7276776379409438,-1.1241731224036142
0.6004077299357194,0.0020773543245303284,2.0016136059763436,0.6219902211711055,-0.7829116281693755,0.007208429440510721,0.003501708381067702,-0.007147496171802361,0.8988225350622842,-0.00638241746369456,0.011397893818480012,1.514287925500147,1.5,2.0,-1.1933663859771553,-0.9492513710637307,-0.16081679386929604,-0.0036381852086779095,-0.004062565451311408,0.3107444010742084,-0.39114024096947936,-1.8769964801956978,-0.8540837181475684
0.7004052422538591,0.002006426720230961,2.0015314357580833,0.49719128151411435,-0.867692318957207,-0.00884140040555512,0.001944836162029534,-0.006748696407716357,1.0498195201244929,-0.0037832333066125713,0.004752217301048141,1.5055458455714321,1.5,2.0,-1.3060075566954932,-0.7495118552809917,-0.008232211795769731,0.002910982173852556,0.0005038720912907403,0.24840543227631212,-0.4335142098972665,-1.9840669266332072,-0.5621473885434567
0.8004128141539493,0.0019626090373031572,2.000606224218527,0.36212917952060447,-0.9322201488636205,-0.00966215074551421,0.0007171482356947527,-0.006803848760357525,1.2000817947889966,-0.000431489671396581,-0.0018988092475568513,1.49962922484335,1.5,2.0,-1.3949276271834552,-0.5415305388684252,0.052749105801492197,0.004091536459032562,0.0019308553966900306,0.1810097235212085,-0.4659688336357958,-2.0454305401165596,-0.2586801007739613
0.9004184975622256,0.001961899739464091,1.999903422772763,0.21908845972279278,-0.9757252377020883,-0.004397246346694058,-0.00029457497131582056,-0.007108614614407301,1.3500585654828547,0.0010822959114467256,-0.0035719689634660405,1.49983463859248,1.5,2.0,-1.461359216485884,-0.32734446299728837,0.04522374382339862,0.0016731055717131376,0.0011634873752387545,0.1095495198558328,-0.48788617819819297,-2.060808219560472,0.04997994986066312
1.0004173720757306,0.0019798024013224476,1.9996895191340749,0.07085618286059865,-0.9974539745163368,0.00011625551090743407,-0.0012762829277366602,-0.0072551714336048624,1.500053261246091,0.0008851508870917306,-0.0017071165763087037,1.4999785299317847,1.5,2.0,-1.4949184942441645,-0.10604897299541974,0.01647457594758329,-0.0006303611552416953,0.0001008403389870359,0.035433592156487115,-0.4988044218725835,-2.0301674332330233,0.357426007111881
1.100414507346793,0.001992187273112275,1.9997834097168627,-0.07909172592739674,-0.9968516032706942,0.0017605362638526043,-0.0022978295422846967,-0.007056445927452796,1.6500335174808847,0.00020845039245706256,0.00032309590205853927,1.4995519509622321,1.5,2.0,-1.4926124526020073,0.11800669009090914,-0.003749955657507923,-0.0011833642075636712,-0.0003255675013060649,-0.03955014605236417,-0.4984797845741867,-1.9540850260993488,0.656750563004584
1.2004151294473238,0.0019933753937287956,1.9999407412129038,-0.2272307442010224,-0.973868711845972,0.0013863822970408908,-0.0033192816011173385,-0.00657144944980723,1.7999956277235167,-0.0001560384279927931,0.0009402701225159837,1.4996358833955628,1.5,2.0,-1.4561903625310078,0.33940654251592955,-0.009243099598310826,-0.0005661429977513239,-0.0002312039875108448,-0.11361873855483029,-0.48694878392014257,-1.834131237579816,0.9412998980625628
