t_sim,states_x,states_y,states_z,states_v_x,states_v_y,states_v_z,states_phi,states_theta,states_psi,states_omega_x,states_omega_y,states_omega_z,states_wx,states_wy,controls_PWM1,controls_PWM2,controls_PWM3,controls_PWM4,outputs_x,outputs_y,outputs_z,outputs_v_x,outputs_v_y,outputs_v_z,outputs_phi,outputs_theta,outputs_psi,outputs_omega_x,outputs_omega_y,outputs_omega_z,outputs_wx,outputs_wy,outputs_Ax,outputs_Ay,outputs_Az,outputs_Axt,outputs_Ayt,outputs_rx,outputs_ry,outputs_Wax,outputs_Way
0.0,-0.3246619999408722,-0.0869561359286308,1.9421203136444087,0.5361545683673279,-0.19791297749937375,0.009523594330843346,-0.007708021353462287,0.006908081155759471,0.4102508632764006,-0.01788719553874727,0.3926389133806359,0.4785873830939759,1e-12,1e-12,6.2646598504981235,6.2249404602031695e-06,5.417308757647757,0.6844332627535148,-0.3246619999408722,-0.0869561359286308,1.9421203136444087,0.5361545683673279,-0.19791297749937375,0.009523594330843346,-0.007708021353462287,0.006908081155759471,0.4102508632764006,-0.01788719553874727,0.3926389133806359,0.4785873830939759,1e-12,1e-12,-0.07280666909473753,-0.20327056183170436,-4.042806530827905,0.021181327554442454,0.05134686857560892,0.2760666085414803,-0.10190562145348658,0.536154568366012,-0.19791297749989192
0.030000000000000002,-0.3075373725036637,-0.08595678616562955,1.940587313244732,0.5346837316744216,-0.20389977252773908,-0.11170494688951901,-0.008660824700150508,0.013875138525276193,0.42444375451757205,-0.05578582836494582,0.06411570953717428,0.4712247303832297,1.0000000000023858e-12,1.0000000000012258e-12,8.60291698537314,0.986537729307516,7.544347560562554,2.250092966767151,-0.3075373725036637,-0.08595678616562955,1.940587313244732,0.5346837316744216,-0.20389977252773908,-0.11170494688951901,-0.008660824700150508,0.013875138525276193,0.42444375451757205,-0.05578582836494582,0.06411570953717428,0.4712247303832297,1.0000000000023858e-12,1.0000000000012258e-12,0.011567916397488581,-0.1643911560089549,-0.7664511663382871,0.10682395307048058,0.08539751477488333,0.27552675832988477,-0.10507116641240496,0.5346837316730986,-0.20389977252823854
0.060000000000000005,-0.2903755209204711,-0.0848684943077163,1.9368913731627684,0.5346897403527816,-0.2087166079454643,-0.13468596676316807,-0.010960424740660422,0.010148904516641305,0.4387593608300729,-0.1093667625080528,-0.32181347720004794,0.4805024607775096,1.0000000000019813e-12,1.0000000000013886e-12,8.805195043380989,3.315744321828943,7.982735131287256,4.144931255838531,-0.2903755209204711,-0.0848684943077163,1.9368913731627684,0.5346897403527816,-0.2087166079454643,-0.13468596676316807,-0.010960424740660422,0.010148904516641305,0.4387593608300729,-0.1093667625080528,-0.32181347720004794,0.4805024607775096,1.0000000000019813e-12,1.0000000000013886e-12,-0.0030261072829211033,-0.12287871444748488,1.5032528102739693,0.09616263447871623,0.13122278279564098,0.2760556155917415,-0.10775855106662433,0.5346897403514516,-0.20871660794594474
0.09000000000000001,-0.2732007305046557,-0.08365383214840523,1.9335270909781728,0.5324210144418376,-0.21197281632508982,-0.08960717279951884,-0.014714747273076487,-0.0035089763003210333,0.4533604778891891,-0.14443110026584793,-0.6010717470490227,0.48108315280266767,1.0000000000042138e-12,9.999999999999348e-13,8.011192645921513,5.664134133923725,7.635395087567161,5.769973226335399,-0.2732007305046557,-0.08365383214840523,1.9335270909781728,0.5324210144418376,-0.21197281632508982,-0.08960717279951884,-0.014714747273076487,-0.0035089763003210333,0.4533604778891891,-0.14443110026584793,-0.6010717470490227,0.48108315280266767,1.0000000000042138e-12,9.999999999999348e-13,-0.1633136048527333,-0.059114103870162304,2.8224191472485174,-0.06284798055225438,0.19322961894266832,0.27536258319115947,-0.10963012481912142,0.5324210144405007,-0.21197281632555082
0.12000000000000001,-0.25615580893005,-0.08231744547424806,1.9321080922637424,0.5238241037842499,-0.2130335455529532,-0.005028748450151697,-0.019328938098708413,-0.023196711231521186,0.46795682999928273,-0.15036320028254507,-0.7277731222851362,0.4693997192076868,1.0000000000043796e-12,9.999999999997762e-13,6.847404915040633,7.217156072684448,6.937395988397634,6.7133729925164,-0.25615580893005,-0.08231744547424806,1.9321080922637424,0.5238241037842499,-0.2130335455529532,-0.005028748450151697,-0.019328938098708413,-0.023196711231521186,0.46795682999928273,-0.15036320028254507,-0.7277731222851362,0.4693997192076868,1.0000000000043796e-12,9.999999999997762e-13,-0.41608061415231906,0.01611026759563003,3.111029602091134,-0.31800775500649214,0.2572597420329886,0.27111532003911576,-0.11025964147966162,0.5238241037829063,-0.21303354555339463
0.15000000000000002,-0.23946917325852238,-0.0809059361398993,1.933355321509217,0.5070882567084084,-0.2117708183785759,0.08810768436810623,-0.024028052121579872,-0.04467365323046988,0.48224485767071223,-0.13067486176050339,-0.724305858591734,0.45126557458022726,1.000000000004166e-12,1.000000000000003e-12,5.660382441800876,7.7343465711037975,6.119870992568963,6.89161400918491,-0.23946917325852238,-0.0809059361398993,1.933355321509217,0.5070882567084084,-0.2117708183785759,0.08810768436810623,-0.024028052121579872,-0.04467365323046988,0.48224485767071223,-0.13067486176050339,-0.724305858591734,0.45126557458022726,1.000000000004166e-12,1.000000000000003e-12,-0.660850611631187,0.07978537038633518,2.4872534520078267,-0.5675162144147383,0.3032759208681817,0.2622840463244826,-0.10953538442859186,0.5070882567070587,-0.21177081837899808
0.18000000000000002,-0.2233720531390836,-0.07948910100791155,1.9371153175775484,0.4833755339782892,-0.20874551831594387,0.16247127894710342,-0.028168103848714675,-0.06478505346298727,0.49608117704139343,-0.09486593720350674,-0.6400412601461271,0.43438902527478473,1.0000000000041391e-12,9.999999999998875e-13,4.673730155109172,7.41938864743183,5.358085999252065,6.507025503192348,-0.2233720531390836,-0.07948910100791155,1.9371153175775484,0.4833755339782892,-0.20874551831594387,0.16247127894710342,-0.028168103848714675,-0.06478505346298727,0.49608117704139343,-0.09486593720350674,-0.6400412601461271,0.43438902527478473,1.0000000000041391e-12,9.999999999998875e-13,-0.8282371959795708,0.11758080789895298,1.3308716661727085,-0.7399650806445153,0.32198558377009373,0.24953369042725473,-0.10776101785049623,0.4833755339769338,-0.20874551831634736
0.21000000000000002,-0.20802867785951487,-0.07813622288472259,1.942585893170698,0.4554613504533649,-0.20483425202730685,0.20215153952160467,-0.03137145463574586,-0.0818573560871795,0.5095136530562632,-0.05302049580086221,-0.5242181639512804,0.42433685345858757,1.000000000003734e-12,1.0000000000002163e-12,4.028877500786096,6.671760806226486,4.789991563524661,5.880930720692881,-0.20802867785951487,-0.07813622288472259,1.942585893170698,0.4554613504533649,-0.20483425202730685,0.20215153952160467,-0.03137145463574586,-0.0818573560871795,0.5095136530562632,-0.05302049580086221,-0.5242181639512804,0.42433685345858757,1.000000000003734e-12,1.0000000000002163e-12,-0.9149227579187743,0.13204667040310153,0.11263828048671616,-0.8304904063257571,0.3197871117497095,0.23446137030778014,-0.10544411588049545,0.45546135045200414,-0.20483425202769207
0.24000000000000002,-0.19351970623929426,-0.07690198133106683,1.9486991489977128,0.4257683049714557,-0.20072057658348325,0.20533453104693258,-0.03353513756561758,-0.09549452575744127,0.5227274453754185,-0.013109443513468419,-0.4129519467819213,0.4230743606290552,1.000000000003469e-12,9.999999999993586e-13,3.7716544469328595,5.86513923071164,4.484152555665676,5.292007451430684,-0.19351970623929426,-0.07690198133106683,1.9486991489977128,0.4257683049714557,-0.20072057658348325,0.20533453104693258,-0.03353513756561758,-0.09549452575744127,0.5227274453754185,-0.013109443513468419,-0.4129519467819213,0.4230743606290552,1.000000000003469e-12,9.999999999993586e-13,-0.9600686820724462,0.1357837433266013,-0.8090446727002572,-0.877668533187048,0.3105708643955756,0.21848847483227152,-0.10300234219670142,0.42576830497009,-0.20072057658385045
0.27,-0.17987174876945408,-0.07582644240450293,1.9544936714460528,0.3953292009546702,-0.19665192514639204,0.18092076833732226,-0.03476688066231702,-0.10614018572031994,0.5359529561128575,0.019833329402032914,-0.32632500100393674,0.4293379257147253,1.0000000000020758e-12,1.0000000000002706e-12,3.851726789134963,5.236465751916629,4.427284295852733,4.898544531906563,-0.17987174876945408,-0.07582644240450293,1.9544936714460528,0.3953292009546702,-0.19665192514639204,0.18092076833732226,-0.03476688066231702,-0.10614018572031994,0.5359529561128575,0.019833329402032914,-0.32632500100393674,0.4293379257147253,1.0000000000020758e-12,1.0000000000002706e-12,-1.0049909379170556,0.14072630635014857,-1.2812809285374172,-0.9230856822957411,0.3053803733502974,0.20226681044312705,-0.10061527853446414,0.39532920095329976,-0.19665192514674115
