x,y,z,v_x,v_y,v_z,phi,theta,psi,omega_x,omega_y,omega_z,wx,wy,Ax,Ay,Az,Axt,Ayt,rx,ry,Wax,Way
0.0,0.0,2.0,0.0707372016677029,-0.9974949866040544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.04974809600878168,0.1043332748556928,-1.4708013266395334,0.04974809600878168,0.1043332748556928,0.03536860083385145,-0.4987474933020272,-1.4292627983322974,-2.997494986604054
0.0074488475265329784,-0.09924686121849462,1.9926540455887347,0.08338893933858935,-0.9876007353801299,-0.14685278371841964,0.0026245940954085227,0.018244354061474344,-0.002652618412327508,0.05315968600650678,0.36479562136868254,-0.053478803089803004,1.5,2.0,0.30358411296373894,0.07961032177348358,1.2383038293951871,0.2506211556996059,0.07513834775374861,0.04184817706976921,-0.49562077148637246,-1.411300552773131,-2.9915726219520966
0.01750476109002987,-0.19771184719505283,1.9841322688098217,0.1338098797942346,-0.9808343968324367,-0.023959129930613207,0.002889912604822321,0.060814959336692724,-0.005768553171756714,-0.04588166881086653,0.4864156338684211,-0.011961778063124493,1.5,2.0,0.7161947717940252,0.0744095736553068,0.9849843914001271,0.7044065991745997,0.07280137764760858,0.06743999979119346,-0.4943392193408499,-1.354628120762268,-2.989453902487841
0.03467230573001563,-0.2953752198596344,1.986595474209036,0.22738699731298712,-0.9684022140586815,0.07250191444532933,-0.009857518832165927,0.10479468610349628,-0.004470328364810154,-0.2117736601859743,0.3929513759043477,0.039329203942747804,1.5,2.0,1.0455396267426231,0.1926106015527642,0.07027734460508037,1.0834568438659962,0.20151380522473133,0.11446064398365821,-0.48746824737645766,-1.263657387883658,-2.9750877004699325
0.06297278582077642,-0.390931250839657,1.9941243067523478,0.3492432447722594,-0.9366866066567945,0.07734470952967404,-0.03722506025236468,0.1359797880312247,-0.001331510893214931,-0.3430921059963959,0.22919713434180713,0.036235624041661856,1.5,2.0,1.3004791815905714,0.4453500801206986,-0.3591215790028794,1.3334381566364137,0.4576388214217637,0.1751361455199554,-0.4697232782756118,-1.1480924045374512,-2.938682099485454
0.10472768979920236,-0.48179867982539265,1.9999972092021014,0.4890929685785999,-0.8743687063745891,0.03947013777029055,-0.07461976989205737,0.15078459256727297,0.00022529971958728522,-0.4091646188813343,0.06498418895331663,0.010029487086746157,1.5,2.0,1.4682377162541889,0.8127254858916215,-0.32578518542845114,1.4764218751908145,0.8173034340277462,0.24454682552968335,-0.4371849632347329,-1.0113575927867902,-2.874030706038104
0.16106088745272015,-0.56448278874988,2.0022556333221044,0.6367200832078947,-0.7730521696530149,0.005125364771456393,-0.11616459917293392,0.1493678316502308,0.00031879711670801316,-0.42201917556952034,-0.09314871713480016,-0.011808983188906568,1.5,2.0,1.4916628021327218,1.2429147309120714,-0.15169032046671455,1.4835632599109634,1.2362435883943566,0.3180013943331806,-0.38609064536398957,-0.8639174347910208,-2.772573872354452
0.23193716773112807,-0.6349182092207325,2.0019574423277136,0.7773986834116396,-0.6295303572358798,-0.011580807333643452,-0.15685682682823462,0.13197259358938726,0.0002467457898105685,-0.39169322918942073,-0.25108441210080734,-0.03795779233828229,1.5,2.0,1.3460240046634968,1.6796924360755143,-0.010206773171966329,1.3259803232825231,1.654940759945537,0.3883192854028623,-0.31445741249320114,-0.7230947625003606,-2.629160177671435
0.31582361142259474,-0.6889738446051344,2.0007062252767174,0.8944567541236319,-0.44638832735187933,-0.013830003794856851,-0.19210644576625605,0.09899534244275718,0.00033247856970171043,-0.3136976185447895,-0.3984100151179059,-0.07608494901813956,1.5,2.0,1.0286614192814374,2.068982329565467,0.06336677332350357,1.0016751806405821,2.01490828250447,0.44707051081420995,-0.2231153788158676,-0.606208120097022,-2.4458894989645166
0.4095608000762715,-0.7230550095260908,1.9996095154898705,0.9723366613282567,-0.23187848606790043,-0.008374713721310083,-0.21696059192054334,0.05267643440377753,0.0003281574141139133,-0.18366208157273767,-0.5083268701663967,-0.11368102586279677,1.5,2.0,0.5598283770050152,2.34456201687558,0.0782279328061719,0.5397326588496071,2.2602945894416204,0.48626326980147955,-0.11596188369362412,-0.5283195727227263,-2.231386142268277
0.5086155421636577,-0.73468957856267,1.9991451730738836,0.9996967356749954,0.00018758597448285778,-0.0010538126931153584,-0.2268204773527666,-0.0017454600767418766,0.00016926725512592087,-0.013604883454382464,-0.5525029959982886,-0.1307552217455871,1.5,2.0,0.000194508014794947,2.4435274679525762,0.051528353753611235,0.00021289180417569757,2.3455552486332025,0.5000621011118781,9.383309276855856e-05,-0.5006417773450872,-1.999558484492637
0.6076685280171787,-0.7229910678163305,1.9992945802848174,0.9723566339855564,0.23225885272775249,0.004058800763788758,-0.2192168713789289,-0.05658061631199089,-3.0202316820327676e-05,0.16567448489066838,-0.5159351704591811,-0.11758203301993268,1.5,2.0,-0.5584473726128117,2.3391688379861546,0.007127264330621332,-0.5376971293450344,2.2522975025719223,0.4863498573817148,0.11617040080940205,-0.5275829606966772,-1.7677864498352915
0.701398078532753,-0.6888523978059796,1.999751823231018,0.8944157896611623,0.44664523260498845,0.005292601893705884,-0.1951640350377051,-0.10365595934199337,-0.00019240369033706107,0.3153963679394759,-0.40444514398045484,-0.08097128518486653,1.5,2.0,-1.0250265924498714,2.0552687878410665,-0.029502570366155344,-0.9964075831533806,1.9979586635396187,0.44726339502271145,0.22335033148430364,-0.605199375196153,-1.5536433359095567
