time,state_x,state_y,state_z,state_v_x,state_v_y,state_v_z,state_phi,state_theta,state_psi,state_omega_x,state_omega_y,state_omega_z,state_wx,state_wy,control_PWM1,control_PWM2,control_PWM3,control_PWM4,output_x,output_y,output_z,output_v_x,output_v_y,output_v_z,output_phi,output_theta,output_psi,output_omega_x,output_omega_y,output_omega_z,output_wx,output_wy,output_Ax,output_Ay,output_Az,output_Axt,output_Ayt,output_rx,output_ry,output_Wax,output_Way
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,4.328771890952283,4.583789632389202,4.7725563451909006,4.344271885839752,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.01740341106856945,0.06961364427427776,-1.4008867835507608,0.01740341106856945,0.06961364427427776,0.5,0.0,-0.5000000000000002,-1.9999999999999998
0.1,0.1000808620930734,0.0003288215800077043,1.9930036742660184,1.001504643788912,0.00466645373801372,-0.1398458322168232,0.002679034007907354,-0.0008634544745963587,0.0015299542024479452,0.053598924785596844,-0.01721553437536136,0.030619895569342418,1.5,2.0,5.915457708439249,5.904542397175378,5.78212246575794,5.862048778469027,0.1000808620930734,0.0003288215800077043,1.9930036742660184,1.001504643788912,0.00466645373801372,-0.1398458322168232,0.002679034007907354,-0.0008634544745963587,0.0015299542024479452,0.053598924785596844,-0.01721553437536136,0.030619895569342418,1.5,2.0,0.008151178502489366,0.009304036066645427,1.138781635289273,0.008007909838839125,0.04005206015746663,0.5025101843616746,0.002341417528862448,-0.5015535078526787,-1.9930362750942232
0.2,0.20024215679343516,0.0010542311760986898,1.9847059862557532,1.0015002346238102,0.004125114988258552,-0.026178952292685707,0.0076811684555261476,-0.0022471174631120204,0.0032663521605911646,0.04648909140417304,-0.010308399661681676,0.004247948346435838,1.5,2.0,5.872346854808054,5.697607600656273,5.552709811549969,5.853724662734915,0.20024215679343516,0.0010542311760986898,1.9847059862557532,1.0015002346238102,0.004125114988258552,-0.026178952292685707,0.0076811684555261476,-0.0022471174631120204,0.0032663521605911646,0.04648909140417304,-0.010308399661681676,0.004247948346435838,1.5,2.0,-0.00648443769885274,-0.017301779461070636,0.9070181247397766,-0.006502095099796286,-0.013014895037692644,0.5046088647685244,0.0020784514264708736,-0.5050244562958666,-1.9909646964361225
0.30000000000000004,0.30034547210712564,0.0016624234899338586,1.9866173282573012,1.000522498449848,0.0018087582357480757,0.0643484931626834,0.010466607849438994,-0.0026418089871080535,0.0024617263287040237,0.009177055945688536,0.0022496219878000738,-0.02027014784294155,1.5,2.0,5.381153630321642,5.235846642326571,5.225773460305116,5.409892808751957,0.30034547210712564,0.0016624234899338586,1.9866173282573012,1.000522498449848,0.0018087582357480757,0.0643484931626834,0.010466607849438994,-0.0026418089871080535,0.0024617263287040237,0.009177055945688536,0.0022496219878000738,-0.02027014784294155,1.5,2.0,-0.008666040314660213,-0.013834297406672226,0.09966900312974195,-0.00862899465819739,-0.0343262636785324,0.5036312148387055,0.0009104713877305969,-0.5043964041647024,-1.9944925959073125
0.4,0.4003596283949839,0.0019136533309763763,1.993549911793733,0.9998376138360413,0.00023636347950929513,0.07429820251364551,0.01009735329009148,-0.002203989885035836,0.0005791074675069239,-0.01665420234840937,0.006114470732109717,-0.017472021057434062,1.5,2.0,5.074508092848932,5.0404594946789105,5.09917816563619,5.101729209912367,0.4003596283949839,0.0019136533309763763,1.993549911793733,0.9998376138360413,0.00023636347950929513,0.07429820251364551,0.01009735329009148,-0.002203989885035836,0.0005791074675069239,-0.01665420234840937,0.006114470732109717,-0.017472021057434062,1.5,2.0,-0.0034377511045988684,-0.008456515060443908,-0.337536118836006,-0.0034335798584893755,-0.02610124074097945,0.5015362835517969,0.00011856411425215975,-0.5013203495101478,-1.998894640002334
0.5,0.5003346889949374,0.0018922459728248214,1.999294290102798,0.9997364001818887,-0.0004375513938107649,0.040611673646998386,0.00829079685848666,-0.001738381230463259,-0.000519647158616717,-0.019521523594006877,0.0029893292743109904,-0.004588767423659777,1.5,2.0,5.040530323101063,5.087955823524875,5.131262688062895,5.048692951739961,0.5003346889949374,0.0018922459728248214,1.999294290102798,0.9997364001818887,-0.0004375513938107649,0.040611673646998386,0.00829079685848666,-0.001738381230463259,-0.000519647158616717,-0.019521523594006877,0.0029893292743109904,-0.004588767423659777,1.5,2.0,0.0009129012595105163,-0.004248830145621814,-0.33966431278520715,0.0009108768576251551,-0.008874271366974185,0.5000446433178605,-0.0002188529202413054,-0.4992241030227793,-2.0012167520634923
0.6000000000000001,0.6003161655856848,0.0017789725240104643,2.001659321807928,0.9999136976790777,-0.0004887452995316486,0.006710365441650288,0.006848538499639228,-0.0016135750907565287,-0.0005917461831017786,-0.009326291488908685,-0.0005068205759599905,0.003127472653669878,1.5,2.0,5.141649431114595,5.201622567970483,5.20899704439048,5.140547434595626,0.6003161655856848,0.0017789725240104643,2.001659321807928,0.9999136976790777,-0.0004887452995316486,0.006710365441650288,0.006848538499639228,-0.0016135750907565287,-0.0005917461831017786,-0.009326291488908685,-0.0005068205759599905,0.003127472653669878,1.5,2.0,0.00179084170268893,0.0004157549601929429,-0.15910661831551642,0.0017923806745718056,0.0035643050690223788,0.49954239804201095,-0.0002441700714036626,-0.49890254740113704,-2.001376014358847
0.7000000000000001,0.7003153017383944,0.0016996642803593098,2.0015358192250243,1.000054582942621,-0.00020452554924816794,-0.009170782472683386,0.0064189087438641535,-0.0017088250963481814,-0.0002325881744990199,0.0007456302661116136,-0.0013509140089787693,0.004067925518660048,1.5,2.0,5.244688627801777,5.273163433562052,5.2617610520825755,5.241830850811671,0.7003153017383944,0.0016996642803593098,2.0015358192250243,1.000054582942621,-0.00020452554924816794,-0.009170782472683386,0.0064189087438641535,-0.0017088250963481814,-0.0002325881744990199,0.0007456302661116136,-0.0013509140089787693,0.004067925518660048,1.5,2.0,0.0006304170956752246,0.0026040555285802404,-0.005255636587295605,0.0006312544149201114,0.006698238144460331,0.4996436103401001,-0.00010218430631301832,-0.49948020013963124,-2.0005533537105924
0.8,0.8003220569463719,0.0016866208077758594,2.0005924720249473,1.0000654198678611,6.631037703185652e-05,-0.009696163967593005,0.006682767621541263,-0.0018033401825008559,6.669767445743696e-05,0.004542025287799031,-0.0005003775724246259,0.0019299367674960625,1.5,2.0,5.292951037921883,5.288341212525628,5.27740185832669,5.289799497067474,0.8003220569463719,0.0016866208077758594,2.0005924720249473,1.0000654198678611,6.631037703185652e-05,-0.009696163967593005,0.006682767621541263,-0.0018033401825008559,6.669767445743696e-05,0.004542025287799031,-0.0005003775724246259,0.0019299367674960625,1.5,2.0,-0.0003816525452021781,0.001747279315432765,0.05400005959478651,-0.0003817813726084422,0.003690200467487845,0.49988462610559614,3.31453696637871e-05,-0.5000679721445203,-1.9998336386627764
0.9,0.9003261920339537,0.0017114451111382644,1.9998924950969184,1.0000154221587565,0.0001455679635314741,-0.004306942123110946,0.007070121282144368,-0.001815215618464329,0.00015398454356585167,0.00320820534786933,0.0002746913772957415,-0.00018264936210168783,1.5,2.0,5.292214211085035,5.2754391478650495,5.272300776491309,5.289837249054868,0.9003261920339537,0.0017114451111382644,1.9998924950969184,1.0000154221587565,0.0001455679635314741,-0.004306942123110946,0.007070121282144368,-0.001815215618464329,0.00015398454356585167,0.00320820534786933,0.0002746913772957415,-0.00018264936210168783,1.5,2.0,-0.0004752460388128521,0.0001077677857818192,0.04506329542309296,-0.000475219263559494,-7.617149344395017e-05,0.500034589164401,7.278789429349782e-05,-0.5002925291437286,-1.9996234315107928
