t_sim,states_x,states_y,states_z,states_v_x,states_v_y,states_v_z,states_phi,states_theta,states_psi,states_omega_x,states_omega_y,states_omega_z,states_wx,states_wy,controls_PWM1,controls_PWM2,controls_PWM3,controls_PWM4,outputs_x,outputs_y,outputs_z,outputs_v_x,outputs_v_y,outputs_v_z,outputs_phi,outputs_theta,outputs_psi,outputs_omega_x,outputs_omega_y,outputs_omega_z,outputs_wx,outputs_wy,outputs_Ax,outputs_Ay,outputs_Az,outputs_rx,outputs_ry,outputs_Wax,outputs_Way
0.0,-2.773073434829712,-1.1829837560653689,1.6841235160827637,-1.1863624358910454,-0.031023912473325754,-0.23008376464391675,-0.04211474859574787,-0.0659276857209769,0.27307063655145025,-0.10582096402464886,-0.30621640133373973,-0.4091157332697707,1e-12,1e-12,4.5320071860231805e-07,7.955738129564495,3.805812190617849e-06,9.145489742878663,-2.773073434829712,-1.1829837560653689,1.6841235160827637,-1.1863624358910454,-0.031023912473325754,-0.23008376464391675,-0.04211474859574787,-0.0659276857209769,0.27307063655145025,-0.10582096402464886,-0.30621640133373973,-0.4091157332697707,1e-12,1e-12,-0.47153958558701126,-0.12860907579604403,-1.8501665712380575,-0.7044390892720861,-0.018421399723392455,-1.186362435892278,-0.031023912474019012
0.03,-2.8073521610532244,-1.1933890099530056,1.6763881177677342,-1.2010369769544929,-0.034228786873529794,-0.2856102802624764,-0.04494481918977185,-0.06794431306135185,0.2616475513814677,-0.13418367199620396,0.20489194504853547,-0.3555806497256794,9.999999999982222e-13,1.0000000000017808e-12,6.791094512627041e-07,10.068065584536571,0.8275068882909057,10.260394511702543,-2.8073521610532244,-1.1933890099530056,1.6763881177677342,-1.2010369769544929,-0.034228786873529794,-0.2856102802624764,-0.04494481918977185,-0.06794431306135185,0.2616475513814677,-0.13418367199620396,0.20489194504853547,-0.3555806497256794,9.999999999982222e-13,1.0000000000017808e-12,-0.6157973606745444,0.036141325217717346,0.034617180044222685,-0.7164432652706848,-0.02041817554702582,-1.2010369769557174,-0.03422878687423709
0.06,-2.8422021376291067,-1.2035714792940992,1.667836128667967,-1.2177913711772281,-0.03335756741112047,-0.28448592906124953,-0.04804660576550535,-0.05353710874936563,0.2509577082579408,-0.11645204857476725,0.787579027071262,-0.3099984359842138,9.99999999999346e-13,1.0000000000029393e-12,1.4444765420976245e-06,9.888712679848362,4.260512298839374,8.618645746177066,-2.8422021376291067,-1.2035714792940992,1.667836128667967,-1.2177913711772281,-0.03335756741112047,-0.28448592906124953,-0.04804660576550535,-0.05353710874936563,0.2509577082579408,-0.11645204857476725,0.787579027071262,-0.3099984359842138,9.99999999999346e-13,1.0000000000029393e-12,-0.5153599437118267,0.15171956178193102,0.7916455473226381,-0.7301624843382117,-0.020000506547224038,-1.2177913711784452,-0.03335756741184081
0.09,-2.8775885201517517,-1.213434949370871,1.6596594652526264,-1.22890013777069,-0.028462364911555304,-0.2605701906245016,-0.04916916152752993,-0.023918315586327135,0.24220350926914752,0.017746320621946414,1.213040498343889,-0.17570418021638107,9.999999999995904e-13,1.0000000000034236e-12,1.3740345890333927,8.860004308096137,8.316328934565949,6.786588632605888,-2.8775885201517517,-1.213434949370871,1.6596594652526264,-1.22890013777069,-0.028462364911555304,-0.2605701906245016,-0.04916916152752993,-0.023918315586327135,0.24220350926914752,0.017746320621946414,1.213040498343889,-0.17570418021638107,9.999999999995904e-13,1.0000000000034236e-12,-0.23476029049624325,0.37670235315658135,1.998857238953403,-0.7404531854271876,-0.017149521035764333,-1.2289001377719007,-0.028462364912286275
0.12,-2.913276178973813,-1.222865693610836,1.6527426746530194,-1.2292669947932982,-0.016225130941232735,-0.20053786888768074,-0.04538204129781913,0.014997364139140554,0.2383630615296354,0.23128003562967794,1.3907787993749285,0.04406129853065465,1.000000000002282e-12,9.99999999998528e-13,6.1273647351173155,7.235480627036244,11.187026343742925,5.471443135273681,-2.913276178973813,-1.222865693610836,1.6527426746530194,-1.2292669947932982,-0.016225130941232735,-0.20053786888768074,-0.04538204129781913,0.014997364139140554,0.2383630615296354,0.23128003562967794,1.3907787993749285,0.04406129853065465,1.000000000002282e-12,9.99999999998528e-13,0.25187834616485355,0.6874548307240463,4.183274432597896,-0.7437739786390966,-0.00981709445158429,-1.229266994794506,-0.016225130941968348
0.15,-2.9488666427340244,-1.231737683234023,1.6486069501133913,-1.2132187662657408,0.0034036534335851686,-0.07526952441896785,-0.03598264410720452,0.05477288989979267,0.24030114439672956,0.38916340267714344,1.253774230198941,0.19420210687212203,1.0000000000022265e-12,9.999999999985987e-13,10.07592722406187,5.104197658735454,11.924115536933005,4.578997634417363,-2.9488666427340244,-1.231737683234023,1.6486069501133913,-1.2132187662657408,0.0034036534335851686,-0.07526952441896785,-0.03598264410720452,0.05477288989979267,0.24030114439672956,0.38916340267714344,1.253774230198941,0.19420210687212203,1.0000000000022265e-12,9.999999999985987e-13,0.8513399321109596,0.7588195867983016,4.93833156681777,-0.7359054055803268,0.002064563317139398,-1.21321876626695,0.0034036534328518975
0.18,-2.9838456123188846,-1.2399849077976512,1.6485663314065593,-1.1800785447772848,0.0234945414331171,0.07239371015540289,-0.023109028274958622,0.08707281479701642,0.24609901826589076,0.4409151165264508,0.8873861106526867,0.2557776752674723,1.0000000000010245e-12,9.999999999985783e-13,11.6414036995155,2.888773588922904,10.708652010136964,3.9743816209403557,-2.9838456123188846,-1.2399849077976512,1.6485663314065593,-1.1800785447772848,0.0234945414331171,0.07239371015540289,-0.023109028274958622,0.08707281479701642,0.24609901826589076,0.4409151165264508,0.8873861106526867,0.2557776752674723,1.0000000000010245e-12,9.999999999985783e-13,1.2315508284263252,0.6099269972346544,3.7576121205796023,-0.7158210878724182,0.014251499005849233,-1.1800785447784983,0.02349454143239085
0.21,-3.017800516662156,-1.2476686574596527,1.6524246212047282,-1.1385804084251054,0.03885690029179237,0.1846889879281819,-0.009906831572047026,0.10690699462546283,0.2535941746782403,0.390510987988288,0.42656536762399117,0.2639388802803577,1.0000000000025819e-12,9.999999999985635e-13,11.079264884452169,1.2141582997627132,8.439566812653105,3.697338077467625,-3.017800516662156,-1.2476686574596527,1.6524246212047282,-1.1385804084251054,0.03885690029179237,0.1846889879281819,-0.009906831572047026,0.10690699462546283,0.2535941746782403,0.390510987988288,0.42656536762399117,0.2639388802803577,1.0000000000025819e-12,9.999999999985635e-13,1.2656243791983088,0.4107620238833406,1.5125465662987263,-0.6890362161240396,0.023515081894303343,-1.1385804084263242,0.03885690029107523
0.24,-3.0506034875352745,-1.2549333244076186,1.6586440567266123,-1.0991471956607195,0.049018034585753184,0.2298951426867768,0.0008500620561483195,0.1132152367255034,0.2614238410506693,0.26904348718583676,-0.008299970962544761,0.2572421935400664,1.0000000000104316e-12,9.999999999996108e-13,9.348277855495336,0.5359608896179251,6.064768883205327,3.8113782491847767,-3.0506034875352745,-1.2549333244076186,1.6586440567266123,-1.0991471956607195,0.049018034585753184,0.2298951426867768,0.0008500620561483195,0.1132152367255034,0.2614238410506693,0.26904348718583676,-0.008299970962544761,0.2572421935400664,1.0000000000104316e-12,9.999999999996108e-13,1.0921761014698423,0.2752699122313174,-0.6605395168093822,-0.6626781624442811,0.029553076434308552,-1.099147195661944,0.04901803458504562
0.27,-3.082368534858406,-1.2619240390170852,1.6652441687553348,-1.0668634083512227,0.05607481607229008,0.2101410314263569,0.007473894793527997,0.10798792994186895,0.26915283357656,0.11548644729481028,-0.3379447004039952,0.25674243194636837,1.0000000000151808e-12,1.000000000000696e-12,7.333264723912069,0.9372322069521392,4.189277416105778,4.261078923468243,-3.082368534858406,-1.2619240390170852,1.6652441687553348,-1.0668634083512227,0.05607481607229008,0.2101410314263569,0.007473894793527997,0.10798792994186895,0.26915283357656,0.11548644729481028,-0.3379447004039952,0.25674243194636837,1.0000000000151808e-12,1.000000000000696e-12,0.8922396710110152,0.21732680158813178,-2.064162272827175,-0.6406648516587427,0.03367363004441714,-1.0668634083524526,0.056074816071592
