rosbagTimestamp,data
1748401228760148365,169.75164794921875
1748401228823668596,108.20514678955078
1748401228890906012,110.60762786865234
1748401228957953910,122.21712493896484
1748401229025211558,80.95802307128906
1748401229091858319,17.37836265563965
1748401229157704572,-68.2585220336914
1748401229223718250,-199.12986755371094
1748401229290186236,-247.00045776367188
1748401229356191199,-316.9644470214844
1748401229424668066,-338.8770751953125
1748401229494252217,-335.7469787597656
1748401229552883152,-363.7857971191406
1748401229627303104,-335.3689880371094
1748401229684037651,-301.3021240234375
1748401229749510382,-335.0590515136719
1748401229814726441,-307.18487548828125
1748401229888571072,-272.3812561035156
1748401229955634693,-245.33766174316406
1748401230020578064,-195.2509765625
1748401230089177021,-178.43882751464844
1748401230157317056,-169.91087341308594
1748401230222170991,-176.45960998535156
1748401230282465330,-210.316650390625
1748401230358155636,-218.52816772460938
1748401230424732664,-261.5507507324219
1748401230491000311,-287.29486083984375
1748401230558300652,-273.17669677734375
1748401230625438981,-267.9006042480469
1748401230683131748,-240.2384796142578
1748401230759520167,-206.163330078125
1748401230815909245,-209.85174560546875
1748401230886758666,-199.66824340820312
1748401230960151407,-192.5604248046875
1748401231027355774,-200.60385131835938
1748401231091308154,-188.209716796875
1748401231159123736,-143.7794952392578
1748401231225681009,-140.12831115722656
1748401231291302783,-136.950439453125
1748401231360479291,-117.22896575927734
1748401231428446046,-99.47500610351562
1748401231489873468,-80.28697967529297
1748401231557543378,-29.554079055786133
1748401231626151866,-11.339974403381348
1748401231688593305,32.40371322631836
1748401231759736424,60.86810302734375
1748401231823365852,96.83483123779297
1748401231892131413,85.24752807617188
1748401231959439928,104.30098724365234
1748401232025958287,103.1579818725586
1748401232091342375,98.53033447265625
1748401232162379225,107.60443878173828
1748401232224595009,97.78443908691406
1748401232292800977,82.70133972167969
1748401232359701592,105.22782135009766
1748401232425699182,94.20950317382812
1748401232495678849,127.0172348022461
1748401232560279466,50.22355651855469
1748401232622630882,-15.453109741210938
1748401232693279464,-168.36239624023438
1748401232760015167,-195.6222381591797
1748401232826973929,-268.7635803222656
1748401232893220883,-375.7359924316406
1748401232959006976,-233.1544647216797
1748401233025027932,-367.8857116699219
1748401233093013934,-405.2093811035156
1748401233160363275,-367.5429992675781
